id	456b4981-9f37-42ff-b056-883a19ebc7a9	363209a4-9d1d-450e-b9f4-e35400fd76f6
285550	1614.0	1236.0
100873310	0.0	2.0
100128777	0.0	0.0
285555	9.0	10.0
3640	7.0	7.0
3638	19081.0	1959.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1590.0	999.0
100873313	0.0	1.0
3632	4083.0	4058.0
100873312	1.0	4.0
100873311	0.0	2.0
3633	1158.0	712.0
100873318	0.0	0.0
3635	1983.0	548.0
100873317	0.0	0.0
3636	6449.0	8902.0
100128771	38.0	56.0
100873316	1.0	6.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	2.0
1	15.0	20.0
2	30418.0	31341.0
100873309	0.0	0.0
100873308	1.0	2.0
3	5.0	7.0
3641	3.0	0.0
100873303	0.0	0.0
9	1431.0	40.0
3642	30.0	5.0
100873302	0.0	0.0
3643	5029.0	6267.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	75.0	6.0
100873307	0.0	0.0
3646	19719.0	10776.0
100873306	0.0	1.0
100873305	0.0	0.0
3647	161.0	85.0
100873304	0.0	2.0
100873332	0.0	1.0
3660	3470.0	2322.0
100873331	0.0	0.0
3661	2403.0	1949.0
100873330	0.0	1.0
285577	2.0	106.0
3662	126.0	22.0
100128756	0.0	0.0
1000	1209.0	127.0
3652	1899.0	1523.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	61.0	11.0
3654	8334.0	10528.0
100873334	0.0	0.0
3655	12375.0	6218.0
100873333	0.0	0.0
3656	874.0	193.0
100873339	0.0	1.0
3658	5821.0	3294.0
100873338	0.0	0.0
3659	2657.0	739.0
100873337	0.0	3.0
3670	772.0	73.0
100873321	0.0	0.0
3671	4027.0	1199.0
100873320	0.0	0.0
3672	5430.0	4005.0
285588	0.0	5.0
3673	2546.0	191.0
1011	0.0	0.0
1010	14.0	8.0
1008	131.0	63.0
1007	0.0	9.0
1006	56.0	15.0
1005	245.0	274.0
1004	332.0	347.0
1003	1565.0	1787.0
1002	130.0	23.0
1001	3390.0	224.0
3663	706.0	936.0
100873325	1.0	0.0
3664	13848.0	7303.0
100873324	0.0	3.0
3665	1469.0	890.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	8227.0	2421.0
100873329	0.0	0.0
285590	2768.0	1117.0
100873328	0.0	0.0
3669	1019.0	53.0
100873327	0.0	0.0
1009	1820.0	1048.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	2.0	7.0
728477	19.0	34.0
3680	3300.0	625.0
3681	5.0	66.0
100128733	0.0	4.0
100873354	0.0	0.0
3682	1157.0	417.0
100873353	0.0	1.0
3683	702.0	383.0
100873352	0.0	0.0
128710	782.0	1150.0
3684	573.0	325.0
100873351	0.0	0.0
285512	106.0	361.0
1022	1387.0	708.0
285513	497.0	238.0
1021	2017.0	3514.0
1020	951.0	1283.0
440299	0.0	0.0
1019	4066.0	3134.0
128709	0.0	1.0
1018	22.0	31.0
1017	1674.0	1565.0
1016	10.0	21.0
1015	313.0	19.0
1014	16.0	10.0
1013	9.0	16.0
1012	592.0	484.0
116730	7.0	13.0
3674	25.0	105.0
100873358	0.0	0.0
3675	7430.0	685.0
100873357	0.0	2.0
3676	840.0	412.0
100128731	9855.0	8549.0
100873356	0.0	1.0
3678	6033.0	2055.0
3679	2278.0	616.0
100873359	0.0	0.0
728464	143.0	18.0
728463	49.0	54.0
100128725	0.0	1.0
3690	275.0	56.0
3691	8061.0	401.0
100873343	1.0	1.0
3692	6569.0	3237.0
3693	10028.0	9193.0
285521	2135.0	1742.0
100873342	0.0	0.0
3694	2870.0	34.0
100873341	0.0	0.0
3695	236.0	54.0
100873340	0.0	0.0
100128723	2.0	5.0
1033	38.0	352.0
1032	242.0	405.0
285525	3.0	2.0
1031	595.0	2179.0
285527	3796.0	5227.0
1030	1015.0	414.0
728468	0.0	0.0
440288	178.0	181.0
1029	92.0	310.0
440295	144.0	160.0
1028	1740.0	221.0
1027	7623.0	1725.0
1026	6319.0	2524.0
1025	3144.0	4293.0
1024	1197.0	1097.0
3685	11330.0	5213.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	547.0	510.0
100873345	0.0	0.0
3688	24312.0	12813.0
100873344	0.0	2.0
3689	2424.0	1428.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	3.0	0.0
100873370	0.0	0.0
728498	15.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	58.0	27.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	114.0	8.0
100873374	0.0	0.0
728495	0.0	1.0
100873373	0.0	0.0
100128712	0.0	5.0
1044	11.0	3.0
1043	504.0	149.0
1041	1.0	0.0
1040	3832.0	2787.0
1039	1856.0	1559.0
1038	1.0	0.0
1036	643.0	50.0
3696	3255.0	327.0
3697	3.0	4.0
100873379	0.0	0.0
3698	10.0	22.0
100873378	0.0	3.0
3699	37.0	44.0
100873377	0.0	2.0
728486	7.0	0.0
100873361	0.0	0.0
105373869	6.0	6.0
