id	0a4df4cc-74dd-4858-864b-b483e75b30f8	5d7766c6-e42f-4f85-9065-d8bcc54d7db9
285550	1259.0	1394.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	12.0	13.0
3640	5.0	0.0
3638	10087.0	9465.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1053.0	844.0
100873313	0.0	0.0
3632	3563.0	3573.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	744.0	530.0
100873318	0.0	0.0
3635	815.0	573.0
100873317	0.0	0.0
3636	7495.0	7496.0
100128771	41.0	65.0
100873316	1.0	3.0
100873315	0.0	0.0
100128766	0.0	6.0
3651	0.0	1.0
1	6.0	3.0
2	20560.0	15150.0
100873309	0.0	0.0
100873308	0.0	0.0
3	4.0	1.0
3641	0.0	0.0
100873303	0.0	0.0
9	738.0	515.0
3642	53.0	514.0
100873302	0.0	0.0
3643	5063.0	5247.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	10.0	31.0
100873307	0.0	0.0
3646	16338.0	18407.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	121.0	70.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	2779.0	3108.0
100873331	0.0	0.0
3661	1964.0	2246.0
100873330	0.0	0.0
285577	9.0	65.0
3662	9.0	16.0
100128756	0.0	0.0
1000	93.0	43.0
3652	961.0	1462.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	41.0	27.0
3654	8840.0	8238.0
100873334	0.0	0.0
3655	6011.0	9162.0
100873333	0.0	0.0
3656	193.0	287.0
100873339	0.0	0.0
3658	2753.0	2915.0
100873338	0.0	0.0
3659	919.0	1276.0
100873337	0.0	0.0
3670	627.0	503.0
100873321	1.0	0.0
3671	2515.0	1798.0
100873320	0.0	0.0
3672	8802.0	5099.0
285588	1.0	0.0
3673	1056.0	1211.0
1011	0.0	0.0
1010	9.0	2.0
1008	103.0	196.0
1007	0.0	0.0
1006	23.0	29.0
1005	56.0	115.0
1004	257.0	170.0
1003	1110.0	676.0
1002	124.0	66.0
1001	2895.0	2063.0
3663	179.0	241.0
100873325	0.0	0.0
3664	14797.0	11987.0
100873324	0.0	0.0
3665	1068.0	1905.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4915.0	4127.0
100873329	0.0	0.0
285590	4047.0	1923.0
100873328	0.0	0.0
3669	762.0	1568.0
100873327	0.0	0.0
1009	1209.0	1138.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	3.0
728477	7.0	1.0
3680	2472.0	1089.0
3681	3.0	0.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	726.0	654.0
100873353	0.0	0.0
3683	203.0	190.0
100873352	0.0	0.0
128710	565.0	609.0
3684	78.0	80.0
100873351	0.0	0.0
285512	60.0	48.0
1022	911.0	1347.0
285513	101.0	105.0
1021	1709.0	2244.0
1020	1041.0	1293.0
440299	0.0	0.0
1019	3016.0	3580.0
128709	1.0	0.0
1018	11.0	25.0
1017	963.0	1466.0
1016	20.0	55.0
1015	93.0	40.0
1014	0.0	0.0
1013	5.0	10.0
1012	645.0	1092.0
116730	10.0	20.0
3674	12.0	11.0
100873358	0.0	0.0
3675	5095.0	5006.0
100873357	0.0	0.0
3676	59.0	65.0
100128731	7232.0	8616.0
100873356	0.0	0.0
3678	21667.0	9668.0
3679	4661.0	1912.0
100873359	0.0	0.0
728464	102.0	66.0
728463	25.0	18.0
100128725	0.0	0.0
3690	354.0	186.0
3691	9371.0	5842.0
100873343	0.0	0.0
3692	7025.0	5989.0
3693	10592.0	15238.0
285521	1311.0	1670.0
100873342	0.0	0.0
3694	448.0	362.0
100873341	0.0	0.0
3695	13.0	31.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	38.0	41.0
1032	262.0	224.0
285525	8.0	2.0
1031	695.0	350.0
285527	2245.0	2827.0
1030	386.0	353.0
728468	0.0	2.0
440288	127.0	156.0
1029	50.0	118.0
440295	63.0	99.0
1028	2455.0	1410.0
1027	4027.0	4385.0
1026	5595.0	5530.0
1025	3446.0	3641.0
1024	914.0	803.0
3685	5025.0	6837.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	113.0	90.0
100873345	0.0	0.0
3688	12804.0	13030.0
100873344	0.0	0.0
3689	749.0	611.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	13.0	4.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	31.0	36.0
100873375	0.0	0.0
100128710	0.0	2.0
285533	145.0	68.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	0.0
1043	170.0	121.0
1041	0.0	0.0
1040	2322.0	2861.0
1039	1384.0	1518.0
1038	1.0	0.0
1036	645.0	168.0
3696	2898.0	2333.0
3697	3.0	0.0
100873379	0.0	0.0
3698	6.0	14.0
100873378	1.0	2.0
3699	67.0	25.0
100873377	0.0	0.0
728486	0.0	0.0
100873361	0.0	0.0
105373869	0.0	2.0
100873360	0.0	0.0
285540	143.0	123.0
100128705	3.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	76.0	498.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	2109.0	2640.0
285547	0.0	0.0
1053	1.0	3.0
285548	3.0	6.0
1052	4646.0	3893.0
1051	1869.0	1920.0
728489	6.0	7.0
1050	1228.0	1383.0
100128707	0.0	0.0
1048	9.0	8.0
1047	3682.0	7025.0
1046	3.0	0.0
1045	53.0	135.0
100873369	1.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	4517.0	2190.0
1063	115.0	230.0
1062	87.0	81.0
1061	2.0	2.0
1060	1083.0	1302.0
440253	62.0	45.0
1059	6482.0	5460.0
1058	16.0	26.0
1057	0.0	1.0
85379	4397.0	3399.0
114112	366.0	458.0
1056	119.0	82.0
85377	4169.0	3069.0
85378	2044.0	2538.0
128745	0.0	0.0
85376	9.0	10.0
440248	189.0	265.0
1075	793.0	811.0
1074	8.0	22.0
1073	7122.0	4004.0
1072	39712.0	44128.0
1071	27.0	42.0
440243	0.0	0.0
1070	909.0	893.0
1069	4932.0	4080.0
1068	0.0	0.0
85369	1882.0	1943.0
85366	3.0	1.0
85364	1353.0	1387.0
85365	4023.0	5187.0
85363	1450.0	1920.0
85360	1453.0	652.0
1080	224.0	332.0
85391	0.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	599.0	1005.0
1087	4.0	4.0
1086	0.0	0.0
440279	1.0	2.0
1085	1.0	2.0
1084	0.0	2.0
440278	76.0	184.0
1082	0.0	0.0
403294	0.0	0.0
440275	5106.0	7649.0
1081	40.0	59.0
85397	2.0	2.0
85395	641.0	702.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	245.0	228.0
1089	12.0	9.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
