id	5e480597-1410-4c25-bc82-6712d2743187	ff052832-df71-405d-9cc9-8e1f55f65610
285550	1567.0	1509.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	20.0	13.0
3640	11.0	1.0
3638	10521.0	7320.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2157.0	1246.0
100873313	0.0	0.0
3632	4585.0	3346.0
100873312	6.0	1.0
100873311	0.0	0.0
3633	1782.0	478.0
100873318	1.0	0.0
3635	3876.0	260.0
100873317	0.0	0.0
3636	10864.0	8427.0
100128771	86.0	93.0
100873316	14.0	6.0
100873315	0.0	0.0
100128766	3.0	5.0
3651	9.0	0.0
1	16.0	6.0
2	38252.0	18219.0
100873309	0.0	0.0
100873308	0.0	2.0
3	10.0	0.0
3641	1.0	9.0
100873303	0.0	0.0
9	1127.0	3433.0
3642	58.0	7.0
100873302	0.0	1.0
3643	15448.0	7553.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	41.0	7.0
100873307	1.0	0.0
3646	26785.0	33702.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	181.0	67.0
100873304	0.0	0.0
100873332	0.0	2.0
3660	3918.0	1707.0
100873331	0.0	0.0
3661	4394.0	1686.0
100873330	0.0	0.0
285577	6.0	3.0
3662	325.0	31.0
100128756	0.0	0.0
1000	296.0	51.0
3652	1574.0	1553.0
100873336	0.0	69.0
100873335	0.0	14.0
100128750	87.0	10.0
3654	10823.0	11994.0
100873334	0.0	25.0
3655	24627.0	6734.0
100873333	0.0	2.0
3656	577.0	329.0
100873339	0.0	0.0
3658	6083.0	4028.0
100873338	0.0	0.0
3659	29614.0	4585.0
100873337	1.0	3.0
3670	1071.0	142.0
100873321	0.0	0.0
3671	4301.0	1580.0
100873320	0.0	0.0
3672	8907.0	4159.0
285588	0.0	2.0
3673	6950.0	1351.0
1011	0.0	0.0
1010	6.0	0.0
1008	486.0	38.0
1007	1.0	0.0
1006	102.0	1.0
1005	382.0	14.0
1004	265.0	140.0
1003	1527.0	667.0
1002	224.0	54.0
1001	7111.0	357.0
3663	570.0	213.0
100873325	0.0	0.0
3664	36613.0	7137.0
100873324	0.0	0.0
3665	2085.0	1360.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9741.0	3308.0
100873329	0.0	0.0
285590	5128.0	1196.0
100873328	0.0	0.0
3669	1927.0	925.0
100873327	0.0	0.0
1009	2640.0	1034.0
100873326	0.0	0.0
100873350	2.0	1.0
116729	17.0	2.0
728477	14.0	9.0
3680	2637.0	716.0
3681	5.0	1.0
100128733	2.0	0.0
100873354	0.0	0.0
3682	1115.0	586.0
100873353	0.0	1.0
3683	968.0	186.0
100873352	0.0	0.0
128710	1154.0	715.0
3684	374.0	125.0
100873351	0.0	0.0
285512	311.0	195.0
1022	1668.0	1600.0
285513	690.0	201.0
1021	3878.0	5422.0
1020	831.0	675.0
440299	1.0	0.0
1019	4596.0	3233.0
128709	0.0	2.0
1018	125.0	29.0
1017	3297.0	1649.0
1016	171.0	3.0
1015	162.0	8.0
1014	3.0	0.0
1013	4.0	4.0
1012	2882.0	392.0
116730	11.0	46.0
3674	74.0	4.0
100873358	0.0	0.0
3675	12255.0	1316.0
100873357	0.0	0.0
3676	511.0	118.0
100128731	8697.0	6924.0
100873356	0.0	0.0
3678	18620.0	7217.0
3679	4999.0	1852.0
100873359	0.0	0.0
728464	147.0	21.0
728463	92.0	14.0
100128725	1.0	1.0
3690	445.0	151.0
3691	20560.0	1128.0
100873343	0.0	0.0
3692	8068.0	4693.0
3693	13426.0	11227.0
285521	1373.0	1908.0
100873342	0.0	1.0
3694	5999.0	134.0
100873341	0.0	0.0
3695	222.0	22.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	72.0	63.0
1032	962.0	203.0
285525	4.0	0.0
1031	766.0	469.0
285527	5842.0	2612.0
1030	1269.0	178.0
728468	0.0	0.0
440288	233.0	170.0
1029	57.0	15.0
440295	567.0	136.0
1028	2075.0	830.0
1027	3925.0	4501.0
1026	46607.0	31011.0
1025	5467.0	2838.0
1024	1371.0	818.0
3685	10070.0	11369.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	669.0	263.0
100873345	1.0	18.0
3688	24304.0	11821.0
100873344	0.0	0.0
3689	2306.0	712.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	2.0	0.0
100873371	3.0	0.0
100873370	0.0	0.0
728498	30.0	11.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	34.0	20.0
100873375	0.0	0.0
100128710	0.0	5.0
285533	153.0	17.0
100873374	1.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	0.0
1043	610.0	150.0
1041	0.0	0.0
1040	3856.0	4486.0
1039	2313.0	1832.0
1038	0.0	4.0
1036	720.0	103.0
3696	7259.0	957.0
3697	2.0	3.0
100873379	0.0	0.0
3698	11.0	12.0
100873378	2.0	4.0
3699	67.0	91.0
100873377	0.0	0.0
728486	16.0	0.0
100873361	0.0	0.0
105373869	4.0	0.0
100873360	1.0	1.0
285540	179.0	74.0
100128705	3.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	112.0	1050.0
100873362	0.0	1.0
100128701	4.0	1.0
1054	4066.0	2625.0
285547	1.0	0.0
1053	9.0	0.0
285548	4.0	6.0
1052	9786.0	19042.0
1051	6834.0	1376.0
728489	15.0	10.0
1050	1456.0	1126.0
100128707	0.0	0.0
1048	180.0	180.0
1047	1222.0	6476.0
1046	0.0	0.0
1045	209.0	172.0
100873369	14.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	0.0
1066	3075.0	820.0
1063	399.0	285.0
1062	186.0	101.0
1061	1.0	5.0
1060	3494.0	1391.0
440253	216.0	98.0
1059	7981.0	3709.0
1058	37.0	38.0
1057	172.0	0.0
85379	12718.0	4787.0
114112	836.0	648.0
1056	2474.0	11.0
85377	6928.0	1936.0
85378	5872.0	2870.0
128745	1.0	1.0
85376	12.0	10.0
440248	1290.0	545.0
1075	2446.0	565.0
1074	57.0	44.0
1073	8091.0	4283.0
1072	47822.0	39219.0
1071	36.0	35.0
440243	0.0	0.0
1070	1364.0	716.0
1069	4350.0	2262.0
1068	0.0	0.0
85369	3575.0	4105.0
85366	4.0	2.0
85364	2407.0	1273.0
85365	4614.0	6059.0
85363	3151.0	2733.0
85360	1270.0	366.0
1080	2571.0	36.0
85391	40.0	33.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	934.0	669.0
1087	34.0	1.0
1086	0.0	0.0
440279	2.0	7.0
1085	10.0	0.0
1084	14.0	3.0
440278	185.0	386.0
1082	0.0	0.0
403294	0.0	0.0
440275	8117.0	6983.0
1081	39.0	8.0
85397	2.0	1.0
85395	573.0	413.0
403285	0.0	0.0
1091	2.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	2323.0	692.0
1089	13.0	2.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	2.0
285596	407.0	57.0
285598	960.0	137.0
126133	2012.0	1374.0
128790	1.0	3.0
126129	218.0	45.0
126123	21.0	1.0
442862	0.0	0.0
126119	663.0	433.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	2.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	7.0	1.0
442896	0.0	0.0
114132	7.0	3.0
442897	0.0	0.0
442898	14.0	3.0
114134	796.0	409.0
442899	0.0	0.0
100128790	0.0	0.0
128760	11.0	9.0
100128788	225.0	183.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	77.0
442890	0.0	0.0
442891	0.0	0.0
442892	1.0	2.0
128756	0.0	2.0
100128782	814.0	319.0
100128781	2.0	3.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	8.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	23.0	5.0
102466616	0.0	0.0
126052	0.0	0.0
151009	167.0	155.0
403227	0.0	0.0
403228	0.0	0.0
138046	21.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	7.0
645572	0.0	0.0
645571	6.0	6.0
403223	0.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	3179.0	1854.0
107131122	1.0	0.0
138050	12383.0	14870.0
403219	0.0	2.0
151011	6192.0	1483.0
645587	8.0	1.0
165679	5281.0	288.0
126037	44.0	27.0
114049	5760.0	4302.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	1.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	1.0	0.0
85315	1183.0	187.0
100033821	1.0	3.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	1.0	0.0
85313	2816.0	1455.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	333.0	250.0
100033820	0.0	0.0
106481480	1.0	3.0
106481481	0.0	0.0
138065	87.0	5.0
645598	0.0	0.0
163007	5.0	0.0
