id	f3cf307e-8d8d-4477-9531-ccd7a877e829	0eb37323-6070-4be3-9b1f-11b49a7ab6f2
285550	1291.0	1083.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	16.0	14.0
3640	2.0	1.0
3638	16762.0	3366.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1286.0	1195.0
100873313	0.0	0.0
3632	3649.0	2916.0
100873312	0.0	1.0
100873311	0.0	0.0
3633	1028.0	534.0
100873318	0.0	0.0
3635	2516.0	326.0
100873317	0.0	0.0
3636	7221.0	8232.0
100128771	47.0	66.0
100873316	4.0	4.0
100873315	0.0	0.0
100128766	1.0	2.0
3651	0.0	1.0
1	21.0	3.0
2	18572.0	14489.0
100873309	0.0	0.0
100873308	0.0	0.0
3	2.0	3.0
3641	0.0	0.0
100873303	0.0	0.0
9	468.0	44.0
3642	6.0	437.0
100873302	0.0	0.0
3643	7336.0	6764.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	25.0	3.0
100873307	0.0	0.0
3646	16674.0	17959.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	212.0	80.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	3033.0	1807.0
100873331	0.0	0.0
3661	2190.0	2069.0
100873330	0.0	0.0
285577	2.0	85.0
3662	18.0	24.0
100128756	0.0	1.0
1000	366.0	35.0
3652	1453.0	1393.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	29.0	10.0
3654	8202.0	10325.0
100873334	0.0	0.0
3655	12810.0	13295.0
100873333	0.0	0.0
3656	431.0	271.0
100873339	0.0	0.0
3658	4845.0	3992.0
100873338	0.0	0.0
3659	1944.0	2217.0
100873337	0.0	0.0
3670	390.0	123.0
100873321	0.0	1.0
3671	1989.0	845.0
100873320	0.0	0.0
3672	8934.0	1748.0
285588	0.0	0.0
3673	5513.0	1925.0
1011	0.0	0.0
1010	9.0	2.0
1008	152.0	166.0
1007	0.0	1.0
1006	103.0	4.0
1005	326.0	1216.0
1004	234.0	122.0
1003	729.0	809.0
1002	26.0	59.0
1001	7805.0	889.0
3663	365.0	298.0
100873325	0.0	1.0
3664	12931.0	7183.0
100873324	0.0	0.0
3665	971.0	1502.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6890.0	3763.0
100873329	0.0	0.0
285590	3231.0	870.0
100873328	0.0	0.0
3669	395.0	854.0
100873327	0.0	0.0
1009	1852.0	684.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	1.0
728477	23.0	13.0
3680	3685.0	560.0
3681	3.0	10.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	636.0	628.0
100873353	0.0	0.0
3683	396.0	256.0
100873352	0.0	0.0
128710	833.0	1003.0
3684	342.0	150.0
100873351	0.0	0.0
285512	78.0	98.0
1022	904.0	1467.0
285513	235.0	171.0
1021	3340.0	2347.0
1020	716.0	1028.0
440299	0.0	0.0
1019	3246.0	3636.0
128709	0.0	1.0
1018	8.0	38.0
1017	1221.0	1444.0
1016	37.0	7.0
1015	89.0	18.0
1014	1.0	2.0
1013	14.0	33.0
1012	664.0	683.0
116730	19.0	22.0
3674	26.0	15.0
100873358	0.0	0.0
3675	9930.0	3956.0
100873357	2.0	0.0
3676	249.0	126.0
100128731	6193.0	7927.0
100873356	0.0	0.0
3678	6540.0	1773.0
3679	3649.0	762.0
100873359	0.0	0.0
728464	129.0	30.0
728463	95.0	35.0
100128725	0.0	0.0
3690	331.0	52.0
3691	11736.0	1554.0
100873343	2.0	1.0
3692	5519.0	4294.0
3693	12673.0	13114.0
285521	1361.0	1473.0
100873342	0.0	0.0
3694	1524.0	181.0
100873341	0.0	1.0
3695	72.0	34.0
100873340	0.0	0.0
100128723	2.0	1.0
1033	36.0	84.0
1032	161.0	106.0
285525	1.0	2.0
1031	356.0	208.0
285527	3799.0	4975.0
1030	591.0	190.0
728468	0.0	2.0
440288	137.0	187.0
1029	36.0	298.0
440295	109.0	156.0
1028	2384.0	502.0
1027	4600.0	4011.0
1026	3164.0	4891.0
1025	2927.0	3488.0
1024	837.0	737.0
3685	8831.0	10304.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	198.0	275.0
100873345	1.0	0.0
3688	18615.0	15454.0
100873344	0.0	0.0
3689	1252.0	861.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	12.0	5.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	16.0	34.0
100873375	0.0	0.0
100128710	0.0	2.0
285533	81.0	13.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	0.0	0.0
1043	139.0	134.0
1041	1.0	0.0
1040	3235.0	3040.0
1039	1447.0	1824.0
1038	0.0	1.0
1036	1510.0	1453.0
3696	4683.0	1624.0
3697	2.0	1.0
100873379	0.0	0.0
3698	11.0	12.0
100873378	1.0	4.0
3699	24.0	11.0
100873377	0.0	0.0
728486	2.0	0.0
100873361	0.0	0.0
105373869	0.0	1.0
100873360	0.0	0.0
285540	164.0	87.0
100128705	2.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	208.0	521.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	2343.0	2286.0
285547	0.0	0.0
1053	1.0	1.0
285548	1.0	15.0
1052	1462.0	3234.0
1051	1307.0	878.0
728489	9.0	12.0
1050	1762.0	855.0
100128707	0.0	0.0
1048	6.0	13.0
1047	3208.0	3277.0
1046	4.0	0.0
1045	18.0	2.0
100873369	5.0	2.0
100873368	0.0	0.0
