id	46551ef6-d1de-43c3-8ea5-5ade8a5bffd7	d7f93268-df1e-4e93-9592-ac24335b9031
285550	1035.0	999.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	8.0	11.0
3640	2.0	4.0
3638	2868.0	12061.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	2.0	0.0
3631	1577.0	1186.0
100873313	0.0	0.0
3632	4455.0	3872.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	1455.0	712.0
100873318	0.0	1.0
3635	2619.0	993.0
100873317	0.0	0.0
3636	5738.0	8668.0
100128771	74.0	77.0
100873316	3.0	1.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	1.0	0.0
1	11.0	23.0
2	24285.0	19047.0
100873309	0.0	0.0
100873308	0.0	0.0
3	3.0	6.0
3641	0.0	0.0
100873303	0.0	0.0
9	430.0	467.0
3642	11.0	460.0
100873302	0.0	0.0
3643	5052.0	4562.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	118.0	9.0
100873307	0.0	0.0
3646	12463.0	12504.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	82.0	123.0
100873304	0.0	0.0
100873332	2.0	0.0
3660	2321.0	2469.0
100873331	0.0	0.0
3661	2714.0	2508.0
100873330	0.0	0.0
285577	0.0	23.0
3662	19.0	20.0
100128756	0.0	0.0
1000	405.0	83.0
3652	801.0	1171.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	41.0	39.0
3654	6206.0	8761.0
100873334	0.0	0.0
3655	8311.0	9199.0
100873333	1.0	1.0
3656	341.0	256.0
100873339	0.0	0.0
3658	2178.0	3770.0
100873338	0.0	0.0
3659	2159.0	948.0
100873337	0.0	0.0
3670	545.0	463.0
100873321	0.0	0.0
3671	4914.0	1736.0
100873320	0.0	0.0
3672	7560.0	3862.0
285588	0.0	0.0
3673	2064.0	1646.0
1011	0.0	0.0
1010	10.0	4.0
1008	86.0	124.0
1007	0.0	0.0
1006	380.0	38.0
1005	143.0	505.0
1004	173.0	609.0
1003	1143.0	1224.0
1002	140.0	123.0
1001	1926.0	2277.0
3663	227.0	367.0
100873325	0.0	0.0
3664	7398.0	9789.0
100873324	0.0	0.0
3665	828.0	1463.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2790.0	8294.0
100873329	0.0	0.0
285590	4272.0	2043.0
100873328	0.0	0.0
3669	447.0	718.0
100873327	0.0	0.0
1009	2153.0	1216.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	12.0	2.0
728477	11.0	11.0
3680	2667.0	1444.0
3681	5.0	7.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	689.0	714.0
100873353	0.0	0.0
3683	182.0	319.0
100873352	0.0	0.0
128710	378.0	565.0
3684	205.0	233.0
100873351	0.0	0.0
285512	102.0	121.0
1022	695.0	1318.0
285513	110.0	183.0
1021	1166.0	1302.0
1020	574.0	789.0
440299	2.0	5.0
1019	2564.0	3049.0
128709	0.0	0.0
1018	27.0	46.0
1017	1160.0	1210.0
1016	39.0	56.0
1015	138.0	53.0
1014	2.0	0.0
1013	7.0	21.0
1012	761.0	633.0
116730	13.0	6.0
3674	24.0	23.0
100873358	0.0	0.0
3675	6223.0	4346.0
100873357	0.0	1.0
3676	73.0	114.0
100128731	5973.0	7212.0
100873356	0.0	0.0
3678	31909.0	5885.0
3679	7878.0	2646.0
100873359	0.0	0.0
728464	123.0	75.0
728463	62.0	37.0
100128725	0.0	0.0
3690	373.0	162.0
3691	11011.0	5460.0
100873343	0.0	0.0
3692	4372.0	4772.0
3693	8329.0	11292.0
285521	1037.0	1425.0
100873342	0.0	0.0
3694	1819.0	619.0
100873341	0.0	0.0
3695	62.0	31.0
100873340	0.0	0.0
100128723	0.0	1.0
1033	29.0	53.0
1032	404.0	177.0
285525	3.0	2.0
1031	863.0	373.0
285527	1869.0	3124.0
1030	753.0	247.0
728468	0.0	0.0
440288	89.0	155.0
1029	52.0	141.0
440295	109.0	119.0
1028	2407.0	1026.0
1027	3030.0	4367.0
1026	8197.0	2397.0
1025	2857.0	3046.0
1024	853.0	760.0
3685	4437.0	6270.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	150.0	329.0
100873345	0.0	0.0
3688	18200.0	14578.0
100873344	0.0	0.0
3689	539.0	1023.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	8.0	12.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	33.0	41.0
100873375	0.0	0.0
100128710	1.0	2.0
285533	120.0	49.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	4.0
1043	114.0	174.0
1041	0.0	0.0
1040	1047.0	2992.0
1039	2070.0	1594.0
1038	7.0	2.0
1036	577.0	1759.0
3696	3007.0	1866.0
3697	2.0	1.0
100873379	0.0	0.0
3698	7.0	5.0
100873378	1.0	0.0
3699	137.0	36.0
100873377	0.0	0.0
728486	8.0	0.0
100873361	0.0	0.0
105373869	5.0	2.0
100873360	0.0	0.0
285540	98.0	140.0
100128705	0.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	51.0	680.0
100873362	0.0	0.0
100128701	2.0	0.0
1054	1835.0	1899.0
285547	1.0	0.0
1053	3.0	0.0
285548	1.0	6.0
1052	10472.0	3925.0
1051	3206.0	1157.0
728489	7.0	7.0
1050	597.0	1193.0
100128707	0.0	0.0
1048	281.0	28.0
1047	1902.0	3151.0
1046	0.0	0.0
1045	58.0	11.0
100873369	1.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	0.0
1066	3492.0	2440.0
1063	99.0	340.0
1062	98.0	148.0
1061	5.0	5.0
1060	1446.0	1719.0
440253	137.0	91.0
1059	6378.0	5304.0
1058	2.0	29.0
1057	1.0	0.0
85379	5334.0	4676.0
114112	411.0	495.0
1056	504.0	79.0
85377	6037.0	2520.0
85378	3047.0	4251.0
128745	0.0	0.0
85376	4.0	35.0
440248	432.0	600.0
1075	1028.0	968.0
1074	11.0	18.0
1073	11323.0	3256.0
1072	27356.0	31503.0
1071	7.0	22.0
440243	0.0	0.0
1070	837.0	922.0
1069	3712.0	3051.0
1068	0.0	0.0
85369	1944.0	2254.0
85366	12.0	3.0
85364	1482.0	1309.0
85365	1785.0	4644.0
85363	1336.0	2047.0
85360	2060.0	862.0
1080	175.0	109.0
85391	2.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	1.0	0.0
1088	0.0	1.0
153733	379.0	732.0
1087	29.0	1.0
1086	0.0	0.0
440279	4.0	5.0
1085	0.0	0.0
1084	1.0	1.0
440278	166.0	339.0
1082	0.0	0.0
403294	0.0	0.0
440275	2447.0	5954.0
1081	14.0	236.0
85397	0.0	2.0
85395	689.0	557.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	767.0	1048.0
1089	9.0	14.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	70.0	114.0
285598	597.0	397.0
126133	1477.0	1531.0
128790	0.0	0.0
