id	f0b61979-b534-4fbb-863b-4a368818df92	5f8449ce-a11c-4641-a5a4-ea1524a6f94a
285550	1358.0	1251.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	7.0	7.0
3640	8.0	23.0
3638	5894.0	1771.0
100873319	0.0	0.0
100873314	0.0	1.0
3630	0.0	0.0
3631	2166.0	1465.0
100873313	0.0	0.0
3632	4684.0	2600.0
100873312	0.0	2.0
100873311	0.0	2.0
3633	1249.0	961.0
100873318	1.0	0.0
3635	2176.0	1502.0
100873317	0.0	0.0
3636	7114.0	8126.0
100128771	68.0	63.0
100873316	2.0	6.0
100873315	0.0	0.0
100128766	6.0	5.0
3651	0.0	6.0
1	21.0	14.0
2	119880.0	49120.0
100873309	0.0	0.0
100873308	0.0	1.0
3	10.0	8.0
3641	0.0	0.0
100873303	0.0	0.0
9	336.0	172.0
3642	37.0	771.0
100873302	0.0	5.0
3643	8146.0	7402.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	65.0	14.0
100873307	0.0	0.0
3646	18536.0	27648.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	171.0	93.0
100873304	0.0	0.0
100873332	1.0	1.0
3660	2949.0	2679.0
100873331	0.0	0.0
3661	2431.0	3057.0
100873330	0.0	0.0
285577	0.0	35.0
3662	96.0	132.0
100128756	0.0	1.0
1000	1093.0	101.0
3652	1279.0	840.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	60.0	64.0
3654	6712.0	6555.0
100873334	0.0	0.0
3655	9076.0	7961.0
100873333	3.0	0.0
3656	657.0	519.0
100873339	0.0	0.0
3658	3713.0	3809.0
100873338	0.0	0.0
3659	4255.0	3563.0
100873337	0.0	0.0
3670	1029.0	662.0
100873321	0.0	0.0
3671	7729.0	3790.0
100873320	0.0	0.0
3672	25763.0	5121.0
285588	0.0	0.0
3673	3112.0	1741.0
1011	0.0	0.0
1010	5.0	5.0
1008	996.0	154.0
1007	1.0	3.0
1006	47.0	12.0
1005	100.0	542.0
1004	205.0	306.0
1003	2820.0	2009.0
1002	35.0	116.0
1001	4078.0	5201.0
3663	366.0	614.0
100873325	1.0	0.0
3664	7966.0	6684.0
100873324	0.0	0.0
3665	723.0	1922.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4404.0	5930.0
100873329	0.0	0.0
285590	4563.0	1476.0
100873328	0.0	0.0
3669	465.0	925.0
100873327	0.0	0.0
1009	3765.0	3262.0
100873326	0.0	0.0
100873350	1.0	0.0
116729	39.0	8.0
728477	5.0	11.0
3680	7824.0	1570.0
3681	7.0	30.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	619.0	777.0
100873353	0.0	0.0
3683	901.0	1566.0
100873352	0.0	1.0
128710	424.0	660.0
3684	555.0	640.0
100873351	0.0	0.0
285512	21.0	165.0
1022	815.0	1794.0
285513	431.0	514.0
1021	1910.0	1991.0
1020	792.0	951.0
440299	0.0	0.0
1019	3288.0	3485.0
128709	2.0	1.0
1018	10.0	31.0
1017	1419.0	1469.0
1016	56.0	5.0
1015	153.0	52.0
1014	0.0	3.0
1013	56.0	2.0
1012	763.0	1450.0
116730	17.0	27.0
3674	36.0	41.0
100873358	0.0	0.0
3675	8843.0	5806.0
100873357	0.0	0.0
3676	535.0	880.0
100128731	6928.0	7007.0
100873356	0.0	0.0
3678	17626.0	6055.0
3679	11182.0	2951.0
100873359	0.0	0.0
728464	442.0	75.0
728463	186.0	34.0
100128725	0.0	0.0
3690	666.0	153.0
3691	7881.0	9976.0
100873343	0.0	0.0
3692	5262.0	5121.0
3693	8503.0	8647.0
285521	933.0	1200.0
100873342	0.0	0.0
3694	1281.0	1053.0
100873341	0.0	1.0
3695	127.0	208.0
100873340	0.0	0.0
100128723	0.0	1.0
1033	49.0	59.0
1032	367.0	196.0
285525	5.0	5.0
1031	916.0	509.0
285527	3418.0	3402.0
1030	1290.0	357.0
728468	0.0	0.0
440288	116.0	142.0
1029	157.0	169.0
440295	84.0	268.0
1028	2239.0	1028.0
1027	4548.0	4847.0
1026	18149.0	2245.0
1025	3156.0	3615.0
1024	976.0	740.0
3685	9462.0	7005.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	315.0	893.0
100873345	0.0	0.0
3688	37806.0	12148.0
100873344	0.0	0.0
3689	2768.0	4556.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	27.0	18.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	45.0	30.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	238.0	91.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	1.0
1044	5.0	8.0
1043	481.0	1088.0
1041	0.0	1.0
1040	1383.0	1760.0
1039	2532.0	1905.0
1038	2.0	4.0
1036	893.0	132.0
3696	4283.0	2815.0
3697	4.0	8.0
100873379	0.0	0.0
3698	8.0	35.0
100873378	0.0	2.0
3699	99.0	146.0
100873377	0.0	0.0
728486	6.0	7.0
100873361	0.0	0.0
105373869	3.0	5.0
100873360	0.0	0.0
285540	221.0	118.0
100128705	0.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	52.0	43.0
100873362	0.0	0.0
100128701	5.0	6.0
1054	2433.0	1982.0
285547	0.0	0.0
1053	3.0	9.0
285548	2.0	5.0
1052	11272.0	8893.0
1051	4175.0	3067.0
728489	5.0	22.0
1050	698.0	744.0
100128707	0.0	0.0
1048	139.0	93.0
1047	2020.0	1148.0
1046	0.0	0.0
1045	33.0	27.0
100873369	0.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	10232.0	1207.0
1063	155.0	299.0
1062	118.0	166.0
1061	9.0	3.0
1060	1696.0	1584.0
440253	146.0	129.0
1059	6281.0	5063.0
1058	4.0	26.0
1057	0.0	0.0
85379	6665.0	4284.0
114112	597.0	642.0
1056	85.0	34.0
85377	5570.0	2205.0
85378	2504.0	3860.0
128745	1.0	0.0
85376	20.0	18.0
440248	300.0	462.0
1075	2056.0	2863.0
1074	4.0	23.0
1073	17044.0	3001.0
1072	36864.0	34961.0
1071	76.0	55.0
440243	0.0	0.0
1070	720.0	951.0
1069	5556.0	2558.0
1068	0.0	0.0
85369	2416.0	1756.0
85366	51.0	19.0
85364	1681.0	1496.0
85365	2072.0	2831.0
85363	1648.0	1295.0
85360	3266.0	1098.0
1080	607.0	2250.0
85391	0.0	8.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	3.0
153733	535.0	958.0
1087	28.0	10.0
1086	0.0	0.0
440279	4.0	4.0
1085	0.0	3.0
1084	7.0	10.0
440278	185.0	114.0
1082	0.0	1.0
403294	0.0	0.0
440275	4964.0	4240.0
1081	1.0	8.0
85397	3.0	2.0
85395	420.0	495.0
403285	0.0	0.0
1091	0.0	2.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	6.0
440270	195.0	739.0
1089	17.0	49.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	87.0	182.0
285598	1202.0	503.0
126133	1887.0	1882.0
128790	0.0	0.0
126129	435.0	219.0
126123	2.0	13.0
442862	0.0	0.0
126119	966.0	926.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	1.0
