id	ec4a2c9d-1d81-4129-b2b9-ac500f39f7ca	0532b0ce-9326-49a6-a19b-f888bf7d000f
285550	1114.0	1254.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	8.0	12.0
3640	3.0	8.0
3638	4680.0	2398.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1801.0	2210.0
100873313	0.0	1.0
3632	3472.0	3992.0
100873312	0.0	0.0
100873311	1.0	0.0
3633	1350.0	1210.0
100873318	0.0	2.0
3635	2085.0	1954.0
100873317	0.0	0.0
3636	6040.0	8171.0
100128771	28.0	60.0
100873316	4.0	0.0
100873315	0.0	0.0
100128766	3.0	3.0
3651	0.0	0.0
1	10.0	9.0
2	23856.0	82037.0
100873309	0.0	0.0
100873308	0.0	0.0
3	17.0	19.0
3641	0.0	0.0
100873303	0.0	0.0
9	512.0	1097.0
3642	11.0	25.0
100873302	0.0	1.0
3643	5887.0	6962.0
100128764	0.0	2.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	126.0	33.0
100873307	0.0	0.0
3646	17168.0	20699.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	145.0	102.0
100873304	1.0	0.0
100873332	1.0	0.0
3660	3009.0	2767.0
100873331	0.0	0.0
3661	2512.0	2493.0
100873330	0.0	0.0
285577	4.0	1.0
3662	96.0	184.0
100128756	0.0	0.0
1000	943.0	1167.0
3652	1262.0	1265.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	38.0	30.0
3654	5907.0	8666.0
100873334	0.0	0.0
3655	9834.0	11464.0
100873333	0.0	1.0
3656	620.0	320.0
100873339	0.0	0.0
3658	4298.0	4440.0
100873338	0.0	0.0
3659	2054.0	2057.0
100873337	0.0	0.0
3670	637.0	1239.0
100873321	0.0	0.0
3671	4180.0	7319.0
100873320	0.0	0.0
3672	11211.0	16120.0
285588	0.0	1.0
3673	3883.0	2607.0
1011	0.0	0.0
1010	4.0	5.0
1008	370.0	677.0
1007	0.0	0.0
1006	33.0	36.0
1005	217.0	113.0
1004	315.0	280.0
1003	2113.0	2339.0
1002	41.0	17.0
1001	6698.0	5447.0
3663	392.0	443.0
100873325	0.0	0.0
3664	8639.0	5424.0
100873324	0.0	0.0
3665	993.0	1655.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5693.0	3037.0
100873329	0.0	0.0
285590	2850.0	3664.0
100873328	0.0	0.0
3669	572.0	1630.0
100873327	0.0	0.0
1009	2907.0	6151.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	5.0	86.0
728477	9.0	21.0
3680	5178.0	6249.0
3681	16.0	50.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	756.0	697.0
100873353	0.0	0.0
3683	856.0	1513.0
100873352	0.0	0.0
128710	565.0	765.0
3684	796.0	839.0
100873351	0.0	0.0
285512	60.0	91.0
1022	972.0	1209.0
285513	671.0	712.0
1021	2258.0	4114.0
1020	595.0	894.0
440299	1.0	0.0
