id	ff73b9bb-de12-434d-9550-3148c642442b	a62cfb55-6820-404c-959b-e33a2f732f25
285550	1101.0	609.0
100873310	0.0	10.0
100128777	0.0	0.0
285555	15.0	51.0
3640	8.0	11.0
3638	2721.0	1384.0
100873319	0.0	0.0
100873314	0.0	6.0
3630	0.0	0.0
3631	988.0	2210.0
100873313	0.0	0.0
3632	1327.0	1410.0
100873312	0.0	29.0
100873311	0.0	0.0
3633	789.0	1530.0
100873318	0.0	29.0
3635	418.0	1536.0
100873317	0.0	0.0
3636	4201.0	3377.0
100128771	39.0	24.0
100873316	6.0	0.0
100873315	0.0	0.0
100128766	3.0	0.0
3651	0.0	0.0
1	23.0	20.0
2	9338.0	88954.0
100873309	0.0	0.0
100873308	0.0	0.0
3	3.0	94.0
3641	0.0	5.0
100873303	0.0	1.0
9	164.0	117.0
3642	2.0	22.0
100873302	0.0	0.0
3643	5391.0	8690.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	11.0	310.0
100873307	0.0	0.0
3646	10958.0	6422.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	80.0	157.0
100873304	0.0	4.0
100873332	3.0	2.0
3660	1830.0	1432.0
100873331	0.0	0.0
3661	2748.0	859.0
100873330	0.0	0.0
285577	0.0	3.0
3662	14.0	238.0
100128756	0.0	0.0
1000	1714.0	744.0
3652	779.0	628.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	66.0	254.0
3654	2820.0	1490.0
100873334	1.0	7.0
3655	9286.0	3541.0
100873333	0.0	0.0
3656	251.0	245.0
100873339	0.0	2.0
3658	2456.0	2723.0
100873338	0.0	0.0
3659	1131.0	3123.0
100873337	0.0	11.0
3670	388.0	611.0
100873321	0.0	40.0
3671	2019.0	1700.0
100873320	0.0	0.0
3672	3952.0	15203.0
285588	1.0	0.0
3673	2832.0	2334.0
1011	0.0	0.0
1010	30.0	6.0
1008	5.0	428.0
1007	0.0	11.0
1006	217.0	134.0
1005	19.0	140.0
1004	149.0	342.0
1003	781.0	622.0
1002	364.0	43.0
1001	2120.0	1042.0
3663	2623.0	194.0
100873325	0.0	24.0
3664	7835.0	2944.0
100873324	0.0	34.0
3665	574.0	285.0
100873323	0.0	1.0
100873322	0.0	2.0
3667	2423.0	2156.0
100873329	0.0	0.0
285590	1895.0	3471.0
100873328	0.0	2.0
3669	1084.0	1110.0
100873327	0.0	0.0
1009	708.0	4807.0
100873326	0.0	20.0
100873350	0.0	0.0
116729	5.0	1.0
728477	12.0	40.0
3680	2428.0	5150.0
3681	5.0	35.0
100128733	0.0	91.0
100873354	0.0	1.0
3682	388.0	307.0
100873353	0.0	4.0
3683	70.0	871.0
100873352	0.0	3.0
128710	523.0	1270.0
3684	153.0	443.0
100873351	0.0	0.0
285512	76.0	601.0
1022	677.0	353.0
285513	94.0	1287.0
1021	1197.0	3085.0
1020	743.0	88.0
440299	0.0	2.0
1019	1507.0	535.0
128709	0.0	1.0
1018	37.0	13.0
1017	985.0	882.0
1016	14.0	14.0
1015	36.0	59.0
1014	235.0	0.0
1013	1.0	3.0
1012	412.0	459.0
116730	12.0	1.0
3674	123.0	40.0
100873358	0.0	4.0
3675	7919.0	2045.0
100873357	1.0	1.0
3676	65.0	989.0
100128731	5314.0	2018.0
100873356	0.0	2.0
3678	4770.0	9438.0
3679	1877.0	2660.0
100873359	0.0	4.0
728464	50.0	274.0
728463	10.0	125.0
100128725	1.0	0.0
3690	666.0	728.0
3691	5276.0	1061.0
100873343	0.0	1.0
3692	3141.0	537.0
3693	7841.0	2992.0
285521	878.0	484.0
100873342	0.0	0.0
3694	1588.0	439.0
100873341	0.0	6.0
3695	100.0	74.0
100873340	0.0	31.0
100128723	2.0	0.0
1033	18.0	37.0
1032	122.0	43.0
285525	2.0	7.0
1031	637.0	113.0
285527	2428.0	4789.0
1030	170.0	309.0
728468	0.0	0.0
440288	74.0	127.0
1029	26.0	49.0
440295	120.0	194.0
1028	782.0	379.0
1027	3323.0	862.0
1026	3090.0	2557.0
1025	3074.0	1447.0
1024	1121.0	594.0
3685	4907.0	6222.0
100873347	0.0	40.0
100873346	0.0	2.0
3687	115.0	1221.0
100873345	1.0	13.0
3688	15542.0	10971.0
100873344	0.0	21.0
3689	344.0	1052.0
100873349	0.0	49.0
100873348	0.0	4.0
100873372	0.0	0.0
100873371	1.0	9.0
100873370	0.0	0.0
728498	18.0	77.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	18.0	71.0
100873375	0.0	8.0
100128710	0.0	40.0
285533	123.0	180.0
100873374	0.0	8.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	1.0	0.0
1044	0.0	5.0
1043	2865.0	197.0
1041	9.0	9.0
