id	c5eb6a8e-2a5b-4268-8ae6-f6c13d3e3b01	95c75be7-d55d-4d74-9179-9be223230a5b
285550	1062.0	1115.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	12.0	16.0
3640	16.0	6.0
3638	2856.0	6184.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1506.0	991.0
100873313	0.0	0.0
3632	1726.0	1023.0
100873312	0.0	2.0
100873311	0.0	0.0
3633	1421.0	553.0
100873318	0.0	0.0
3635	1835.0	629.0
100873317	0.0	0.0
3636	4222.0	2470.0
100128771	111.0	48.0
100873316	0.0	6.0
100873315	0.0	0.0
100128766	0.0	3.0
3651	0.0	0.0
1	15.0	6.0
2	89553.0	43280.0
100873309	0.0	0.0
100873308	0.0	0.0
3	35.0	10.0
3641	0.0	0.0
100873303	0.0	1.0
9	1860.0	7958.0
3642	8.0	0.0
100873302	0.0	2.0
3643	6817.0	7554.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	14.0	12.0
100873307	0.0	0.0
3646	21596.0	32787.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	148.0	55.0
100873304	0.0	0.0
100873332	4.0	0.0
3660	2481.0	2992.0
100873331	0.0	0.0
3661	2228.0	1617.0
100873330	0.0	0.0
285577	4.0	0.0
3662	249.0	138.0
100128756	0.0	0.0
1000	91.0	27.0
3652	695.0	573.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	73.0	21.0
3654	6601.0	3783.0
100873334	0.0	0.0
3655	11757.0	4533.0
100873333	2.0	0.0
3656	521.0	152.0
100873339	0.0	0.0
3658	2913.0	2155.0
100873338	0.0	3.0
3659	3745.0	2242.0
100873337	1.0	0.0
3670	0.0	5.0
100873321	0.0	0.0
3671	22194.0	4134.0
100873320	0.0	0.0
3672	2992.0	4553.0
285588	0.0	0.0
3673	6070.0	1155.0
1011	0.0	0.0
1010	134.0	6.0
1008	40.0	10.0
1007	0.0	0.0
1006	389.0	19.0
1005	1.0	37.0
1004	434.0	472.0
1003	5483.0	4656.0
1002	329.0	11.0
1001	4771.0	977.0
3663	432.0	325.0
100873325	0.0	0.0
3664	12941.0	10787.0
100873324	0.0	0.0
3665	850.0	1133.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	11064.0	5590.0
100873329	0.0	0.0
285590	6758.0	2422.0
100873328	0.0	0.0
3669	721.0	297.0
100873327	0.0	0.0
1009	2463.0	3344.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	1.0
728477	1.0	1.0
3680	3026.0	917.0
3681	5.0	8.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	577.0	290.0
100873353	0.0	0.0
3683	700.0	420.0
100873352	0.0	0.0
128710	433.0	639.0
3684	890.0	372.0
