id	450cbf36-7dab-46a4-b6b5-d6b99d51083f	2d721010-840f-4ca7-b41c-6792385b410d
285550	1600.0	933.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	26.0	16.0
3640	2.0	11.0
3638	3910.0	2788.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1866.0	1851.0
100873313	0.0	0.0
3632	2214.0	1293.0
100873312	3.0	8.0
100873311	0.0	0.0
3633	1719.0	900.0
100873318	0.0	0.0
3635	892.0	848.0
100873317	0.0	0.0
3636	5452.0	13742.0
100128771	82.0	55.0
100873316	7.0	20.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	0.0	0.0
1	18.0	31.0
2	73849.0	19747.0
100873309	0.0	0.0
100873308	0.0	0.0
3	22.0	0.0
3641	0.0	0.0
100873303	0.0	0.0
9	297.0	2613.0
3642	1.0	2.0
100873302	0.0	0.0
3643	8051.0	5404.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	40.0	18.0
100873307	0.0	0.0
3646	24153.0	15828.0
100873306	0.0	0.0
100873305	2.0	0.0
3647	174.0	56.0
100873304	0.0	0.0
100873332	12.0	0.0
3660	2378.0	1781.0
100873331	0.0	0.0
3661	1140.0	1468.0
100873330	0.0	0.0
285577	8.0	0.0
3662	94.0	135.0
100128756	0.0	0.0
1000	84.0	321.0
3652	1327.0	1195.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	419.0	31.0
3654	2593.0	6362.0
100873334	0.0	0.0
3655	10414.0	3218.0
100873333	0.0	0.0
3656	698.0	148.0
100873339	0.0	0.0
3658	5566.0	6810.0
100873338	0.0	0.0
3659	1818.0	8021.0
100873337	1.0	0.0
3670	74.0	1.0
100873321	0.0	0.0
3671	5593.0	7655.0
100873320	0.0	0.0
3672	9678.0	3947.0
285588	1.0	0.0
3673	3649.0	3652.0
1011	0.0	0.0
1010	139.0	0.0
1008	5.0	0.0
1007	0.0	2.0
1006	22.0	47.0
1005	1.0	6.0
1004	646.0	251.0
1003	8876.0	1692.0
1002	43.0	19.0
1001	2923.0	1030.0
3663	208.0	545.0
100873325	0.0	0.0
3664	6359.0	8854.0
100873324	0.0	0.0
3665	343.0	1105.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	8054.0	1426.0
100873329	0.0	0.0
285590	2639.0	3727.0
100873328	0.0	0.0
3669	223.0	1251.0
100873327	0.0	0.0
1009	1837.0	8331.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	0.0
728477	1.0	10.0
3680	2538.0	1022.0
3681	12.0	15.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	687.0	1172.0
100873353	0.0	0.0
3683	381.0	772.0
100873352	0.0	0.0
128710	503.0	1394.0
3684	292.0	533.0
100873351	0.0	0.0
285512	143.0	60.0
1022	907.0	2079.0
285513	1026.0	612.0
1021	1816.0	913.0
1020	323.0	727.0
440299	0.0	0.0
1019	2471.0	4482.0
128709	0.0	1.0
1018	24.0	12.0
1017	1066.0	2209.0
1016	1.0	4.0
1015	16.0	28.0
1014	2.0	0.0
1013	5.0	0.0
1012	3576.0	1394.0
116730	43.0	54.0
3674	57.0	22.0
100873358	0.0	0.0
3675	4856.0	2453.0
100873357	0.0	0.0
3676	237.0	689.0
100128731	4290.0	5847.0
100873356	0.0	0.0
3678	2368.0	6220.0
3679	23318.0	504.0
100873359	0.0	0.0
728464	45.0	32.0
728463	12.0	13.0
100128725	0.0	0.0
3690	166.0	162.0
3691	7183.0	9079.0
100873343	1.0	0.0
3692	2518.0	5092.0
3693	9431.0	21780.0
285521	1328.0	1122.0
100873342	0.0	0.0
3694	3361.0	15795.0
100873341	0.0	0.0
3695	62.0	138.0
100873340	0.0	0.0
100128723	1.0	3.0
1033	22.0	585.0
1032	329.0	471.0
285525	4.0	2.0
1031	10974.0	1408.0
285527	5345.0	6544.0
1030	2300.0	785.0
728468	0.0	0.0
440288	147.0	165.0
1029	489.0	167.0
440295	99.0	137.0
1028	7027.0	163.0
1027	4976.0	7646.0
1026	6063.0	2310.0
1025	2572.0	4618.0
1024	769.0	1427.0
3685	9531.0	18013.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	154.0	578.0
100873345	1.0	0.0
3688	49699.0	34252.0
100873344	0.0	0.0
3689	899.0	2894.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	0.0
100873371	6.0	0.0
100873370	0.0	0.0
728498	50.0	3.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	33.0	45.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	173.0	53.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	25.0
1043	198.0	461.0
1041	2.0	30.0
1040	1163.0	4489.0
1039	1273.0	2891.0
1038	114.0	5.0
1036	6347.0	185.0
3696	2785.0	851.0
3697	4.0	0.0
100873379	0.0	0.0
3698	103.0	12.0
100873378	1.0	0.0
3699	123.0	47.0
100873377	1.0	0.0
728486	3.0	18.0
100873361	0.0	0.0
105373869	3.0	583.0
100873360	0.0	0.0
285540	159.0	110.0
100128705	0.0	2.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	3.0	3.0
1054	3258.0	2299.0
285547	0.0	0.0
1053	0.0	4.0
285548	0.0	3.0
1052	1845.0	183.0
1051	4622.0	928.0
728489	6.0	6.0
1050	12769.0	544.0
100128707	0.0	0.0
1048	2.0	1790.0
1047	116.0	795.0
1046	0.0	0.0
1045	0.0	1.0
100873369	4.0	41.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	0.0
1066	8161.0	268.0
1063	226.0	20916.0
1062	92.0	1780.0
1061	3.0	4.0
1060	2385.0	1986.0
440253	347.0	67.0
1059	4424.0	5161.0
1058	3.0	354.0
1057	2.0	4.0
85379	6523.0	5777.0
114112	914.0	655.0
1056	20.0	14.0
85377	2000.0	2364.0
85378	2408.0	2398.0
128745	1.0	0.0
85376	12.0	8.0
440248	535.0	393.0
1075	3739.0	3445.0
1074	15.0	26.0
1073	5207.0	549.0
1072	15227.0	26503.0
1071	1681.0	32.0
