id	d7047346-49fd-444e-84d2-c3e4b7cda15b	4dcd18d6-b7b2-4a92-bcbe-361c7278e84e
285550	1528.0	980.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	34.0	6.0
3640	13.0	16.0
3638	3814.0	3352.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2235.0	2046.0
100873313	0.0	0.0
3632	1742.0	1713.0
100873312	3.0	1.0
100873311	0.0	0.0
3633	1776.0	1290.0
100873318	0.0	0.0
3635	1382.0	2407.0
100873317	0.0	0.0
3636	5385.0	5963.0
100128771	86.0	61.0
100873316	11.0	0.0
100873315	0.0	0.0
100128766	1.0	3.0
3651	0.0	0.0
1	28.0	9.0
2	87871.0	168014.0
100873309	0.0	0.0
100873308	0.0	0.0
3	53.0	12.0
3641	0.0	0.0
100873303	0.0	0.0
9	915.0	10391.0
3642	3.0	8.0
100873302	0.0	0.0
3643	7691.0	10630.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	18.0	80.0
100873307	0.0	0.0
3646	26178.0	22169.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	242.0	94.0
100873304	0.0	0.0
100873332	8.0	0.0
3660	2883.0	4070.0
100873331	0.0	0.0
3661	2492.0	2336.0
100873330	0.0	0.0
285577	10.0	2.0
3662	79.0	184.0
100128756	0.0	0.0
1000	112.0	390.0
3652	1447.0	832.0
100873336	1.0	1.0
100873335	0.0	0.0
100128750	114.0	25.0
3654	4630.0	4493.0
100873334	0.0	0.0
3655	19111.0	16943.0
100873333	0.0	1.0
3656	416.0	502.0
100873339	0.0	0.0
3658	5108.0	4011.0
100873338	0.0	0.0
3659	1530.0	3372.0
100873337	0.0	0.0
3670	6.0	0.0
100873321	0.0	0.0
3671	8560.0	34987.0
100873320	0.0	0.0
3672	5520.0	8771.0
285588	0.0	2.0
3673	10864.0	3574.0
1011	0.0	0.0
1010	536.0	25.0
1008	1.0	7.0
1007	0.0	0.0
1006	48.0	90.0
1005	9.0	11.0
1004	447.0	1690.0
1003	4410.0	14630.0
1002	111.0	54.0
1001	8039.0	2963.0
3663	319.0	530.0
100873325	1.0	0.0
3664	25784.0	12221.0
100873324	1.0	0.0
3665	666.0	1423.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9458.0	4455.0
100873329	0.0	0.0
285590	6324.0	13352.0
100873328	0.0	0.0
3669	810.0	614.0
100873327	0.0	0.0
1009	2789.0	27223.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	2.0	40.0
728477	8.0	1.0
3680	3227.0	3779.0
3681	7.0	22.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	614.0	835.0
100873353	0.0	0.0
3683	556.0	1293.0
100873352	0.0	0.0
128710	870.0	943.0
3684	391.0	3122.0
100873351	0.0	0.0
285512	166.0	38.0
1022	1319.0	1424.0
285513	962.0	1447.0
1021	2491.0	1890.0
1020	531.0	1168.0
440299	0.0	1.0
1019	3309.0	4225.0
128709	1.0	0.0
1018	32.0	7.0
1017	2055.0	1760.0
1016	7.0	45.0
1015	22.0	20.0
1014	1.0	0.0
1013	12.0	14.0
1012	2593.0	4499.0
116730	83.0	38.0
3674	54.0	26.0
100873358	0.0	0.0
3675	11136.0	8895.0
100873357	3.0	0.0
3676	413.0	801.0
100128731	4115.0	8643.0
100873356	0.0	0.0
3678	5462.0	23971.0
3679	1961.0	4497.0
100873359	0.0	0.0
728464	50.0	81.0
728463	104.0	56.0
100128725	0.0	0.0
3690	481.0	472.0
3691	22488.0	14592.0
100873343	0.0	0.0
