id	87ba691e-883a-4e45-9649-ab80e53c9243	519e5c0f-8649-4676-8618-79cdc1770de0
285550	1709.0	1110.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	26.0	13.0
3640	25.0	10.0
3638	4651.0	4750.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2961.0	1970.0
100873313	1.0	0.0
3632	2026.0	1395.0
100873312	7.0	1.0
100873311	0.0	0.0
3633	2716.0	1416.0
100873318	0.0	0.0
3635	3148.0	1255.0
100873317	0.0	0.0
3636	6120.0	10630.0
100128771	96.0	186.0
100873316	10.0	11.0
100873315	0.0	0.0
100128766	0.0	3.0
3651	0.0	0.0
1	30.0	23.0
2	70100.0	26108.0
100873309	0.0	0.0
100873308	0.0	0.0
3	59.0	81.0
3641	0.0	2.0
100873303	0.0	0.0
9	1331.0	747.0
3642	1.0	10.0
100873302	0.0	0.0
3643	12760.0	6582.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	85.0	20.0
100873307	1.0	2.0
3646	30603.0	35222.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	308.0	75.0
100873304	1.0	0.0
100873332	20.0	2.0
3660	3699.0	1919.0
100873331	0.0	0.0
3661	1780.0	1975.0
100873330	0.0	0.0
285577	7.0	4.0
3662	1469.0	556.0
100128756	0.0	0.0
1000	27.0	168.0
3652	1571.0	1279.0
100873336	0.0	2.0
100873335	0.0	0.0
100128750	244.0	42.0
3654	4682.0	7454.0
100873334	0.0	0.0
3655	19849.0	5346.0
100873333	0.0	1.0
3656	777.0	529.0
100873339	0.0	0.0
3658	7091.0	9208.0
100873338	0.0	0.0
3659	2081.0	2554.0
100873337	1.0	0.0
3670	6.0	6.0
100873321	0.0	1.0
3671	13710.0	4968.0
100873320	0.0	0.0
3672	8765.0	3041.0
285588	0.0	2.0
3673	5645.0	3526.0
1011	0.0	0.0
1010	69.0	20.0
1008	17.0	303.0
1007	1.0	0.0
1006	362.0	30.0
1005	181.0	106.0
1004	612.0	216.0
1003	7140.0	1869.0
1002	202.0	24.0
1001	4697.0	4695.0
3663	354.0	467.0
100873325	0.0	1.0
3664	9444.0	12490.0
100873324	0.0	0.0
3665	650.0	1076.0
100873323	0.0	1.0
100873322	0.0	0.0
3667	8936.0	1334.0
100873329	0.0	0.0
285590	9060.0	5088.0
100873328	0.0	0.0
3669	635.0	504.0
100873327	1.0	0.0
1009	3591.0	7326.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	2.0	6.0
728477	8.0	6.0
3680	5507.0	1301.0
3681	6.0	30.0
100128733	2.0	0.0
100873354	0.0	0.0
3682	801.0	1069.0
100873353	0.0	0.0
3683	1058.0	1093.0
100873352	1.0	0.0
128710	860.0	662.0
3684	641.0	2420.0
100873351	0.0	0.0
285512	249.0	98.0
1022	1342.0	2671.0
285513	1389.0	1943.0
1021	3550.0	996.0
1020	369.0	1152.0
440299	1.0	0.0
1019	3529.0	8884.0
128709	0.0	2.0
1018	37.0	49.0
1017	1569.0	4085.0
1016	2.0	7.0
1015	22.0	33.0
1014	2.0	0.0
1013	6.0	7.0
1012	2675.0	1745.0
116730	85.0	52.0
3674	66.0	76.0
100873358	0.0	0.0
3675	7905.0	10361.0
100873357	0.0	1.0
3676	1068.0	3378.0
100128731	4518.0	6219.0
100873356	0.0	0.0
3678	5124.0	3804.0
3679	11048.0	338.0
100873359	0.0	0.0
728464	115.0	37.0
728463	18.0	0.0
100128725	0.0	0.0
3690	450.0	95.0
3691	12520.0	12382.0
100873343	1.0	0.0
3692	3973.0	7209.0
3693	14473.0	9686.0
285521	1351.0	1552.0
100873342	0.0	0.0
3694	9901.0	10018.0
100873341	0.0	0.0
3695	258.0	144.0
100873340	1.0	0.0
100128723	1.0	11.0
1033	35.0	1535.0
1032	357.0	369.0
285525	2.0	1.0
1031	4433.0	1037.0
285527	6779.0	5749.0
1030	2043.0	1087.0
728468	0.0	0.0
440288	203.0	165.0
1029	57.0	433.0
440295	106.0	76.0
1028	3145.0	479.0
1027	6654.0	7476.0
1026	3904.0	8673.0
1025	3896.0	3958.0
1024	860.0	1822.0
3685	11826.0	8478.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	425.0	781.0
100873345	0.0	0.0
3688	39466.0	25857.0
100873344	2.0	0.0
3689	1692.0	2689.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	38.0	5.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	67.0	28.0
100873375	0.0	0.0
100128710	0.0	1.0
285533	85.0	42.0
100873374	1.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	27.0	23.0
1043	495.0	916.0
1041	6.0	32.0
1040	1713.0	5428.0
1039	1555.0	1413.0
1038	49.0	4.0
1036	3784.0	131.0
3696	3914.0	786.0
3697	10.0	1.0
100873379	0.0	0.0
3698	47.0	31.0
100873378	0.0	3.0
3699	156.0	35.0
100873377	0.0	0.0
728486	4.0	13.0
100873361	0.0	0.0
105373869	1.0	429.0
100873360	0.0	1.0
285540	200.0	137.0
100128705	4.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	4.0	8.0
1054	3579.0	3556.0
285547	0.0	0.0
1053	1.0	3.0
285548	1.0	1.0
1052	1222.0	881.0
1051	2459.0	1480.0
728489	13.0	2.0
1050	5976.0	1335.0
100128707	1.0	0.0
1048	15.0	48.0
1047	339.0	282.0
1046	0.0	0.0
1045	0.0	0.0
100873369	14.0	12.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	3.0
1066	4374.0	339.0
1063	770.0	21605.0
1062	160.0	3322.0
1061	7.0	8.0
1060	3103.0	2270.0
440253	354.0	68.0
1059	5329.0	3104.0
1058	45.0	689.0
1057	1.0	4.0
85379	15970.0	8743.0
114112	1109.0	800.0
1056	36.0	21.0
85377	3563.0	2320.0
85378	4609.0	2649.0
128745	1.0	1.0
85376	20.0	18.0
440248	1031.0	701.0
1075	3703.0	3182.0
1074	21.0	16.0
1073	4453.0	1489.0
1072	19837.0	72396.0
1071	70.0	43.0
440243	0.0	0.0
1070	1181.0	991.0
1069	2842.0	3963.0
1068	0.0	0.0
85369	3276.0	2952.0
85366	8.0	19.0
85364	1993.0	1347.0
85365	2730.0	3811.0
85363	1807.0	554.0
85360	1478.0	442.0
1080	37.0	11.0
85391	4.0	10.0
403296	0.0	0.0
403297	2.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	2.0	1.0
153733	781.0	650.0
1087	12.0	48.0
1086	0.0	0.0
440279	43.0	92.0
1085	14.0	1.0
1084	2.0	7.0
440278	185.0	140.0
1082	0.0	0.0
403294	0.0	0.0
440275	6247.0	5893.0
1081	1.0	106.0
85397	8.0	7.0
85395	381.0	553.0
403285	0.0	0.0
1091	0.0	0.0
1090	3.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	1.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	2.0	0.0
440270	2028.0	620.0
1089	5.0	12.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	10.0	4.0
285598	1497.0	412.0
126133	1147.0	2952.0
128790	1.0	0.0
126129	192.0	118.0
126123	1.0	0.0
442862	0.0	0.0
126119	330.0	255.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	2.0	0.0
114131	0.0	4.0
442896	1.0	0.0
114132	12.0	12.0
442897	0.0	0.0
442898	4.0	0.0
114134	1070.0	1594.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	6.0
100128788	116.0	120.0
100128787	0.0	0.0
440225	0.0	0.0
440224	64.0	29.0
442890	0.0	0.0
442891	0.0	1.0
442892	0.0	2.0
128756	0.0	0.0
100128782	211.0	72.0
100128781	5.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	2.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	325.0	4.0
102466616	0.0	0.0
126052	1.0	1.0
151009	75.0	33.0
403227	0.0	0.0
403228	0.0	0.0
138046	2.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	7.0	3.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	871.0	2319.0
107131122	0.0	0.0
138050	9459.0	4931.0
403219	0.0	0.0
151011	8346.0	2168.0
645587	3.0	1.0
165679	224.0	305.0
126037	44.0	104.0
114049	3237.0	5484.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	862.0	316.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2423.0	2262.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	490.0	427.0
100033820	0.0	0.0
106481480	2.0	0.0
106481481	1.0	0.0
138065	41.0	22.0
645598	1.0	0.0
163007	3.0	0.0
114038	2.0	7.0
645591	2.0	0.0
106481495	0.0	0.0
114041	473.0	119.0
106481496	0.0	0.0
114042	7.0	12.0
106481493	0.0	0.0
114043	39.0	245.0
106481494	0.0	0.0
106481499	0.0	1.0
114044	461.0	363.0
126017	834.0	858.0
106481497	1.0	1.0
106481498	1.0	0.0
85303	0.0	0.0
85300	7.0	4.0
85301	3086.0	624.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	1.0
403275	1.0	0.0
102466656	4.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1661.0	9050.0
106481459	0.0	0.0
26994	9378.0	5658.0
106481457	16.0	25.0
26995	2419.0	6669.0
106481458	0.0	0.0
