id	2eeb46a1-0422-4a77-b58d-3b7d57d51b44	95e7a64b-f228-4d19-8e57-a02adde8d01d
285550	1658.0	836.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	26.0	8.0
3640	21.0	25.0
3638	1719.0	2384.0
100873319	0.0	0.0
100873314	1.0	0.0
3630	1.0	0.0
3631	1727.0	2732.0
100873313	3.0	0.0
3632	1443.0	986.0
100873312	2.0	1.0
100873311	0.0	0.0
3633	2166.0	1584.0
100873318	1.0	0.0
3635	1253.0	7591.0
100873317	0.0	0.0
3636	5669.0	5613.0
100128771	105.0	91.0
100873316	6.0	4.0
100873315	0.0	0.0
100128766	0.0	2.0
3651	0.0	0.0
1	26.0	30.0
2	73218.0	44009.0
100873309	0.0	0.0
100873308	0.0	0.0
3	30.0	33.0
3641	0.0	1.0
100873303	1.0	0.0
9	1207.0	13601.0
3642	5.0	17.0
100873302	0.0	0.0
3643	8403.0	3762.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	52.0	29.0
100873307	0.0	0.0
3646	22953.0	17658.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	211.0	92.0
100873304	0.0	0.0
100873332	11.0	0.0
3660	2475.0	4271.0
100873331	0.0	0.0
3661	2032.0	2913.0
100873330	0.0	0.0
285577	1.0	0.0
3662	165.0	2251.0
100128756	0.0	0.0
1000	36.0	52.0
3652	1406.0	846.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	84.0	29.0
3654	4162.0	6723.0
100873334	0.0	0.0
3655	18834.0	7727.0
100873333	0.0	1.0
3656	297.0	484.0
100873339	0.0	0.0
3658	4852.0	3820.0
100873338	0.0	0.0
3659	1803.0	14337.0
100873337	0.0	0.0
3670	11.0	23.0
100873321	1.0	0.0
3671	6257.0	6327.0
100873320	0.0	0.0
3672	4567.0	3011.0
285588	1.0	1.0
3673	7667.0	1604.0
1011	0.0	0.0
1010	255.0	2.0
1008	4.0	6.0
1007	0.0	0.0
1006	101.0	36.0
1005	9.0	1.0
1004	363.0	281.0
1003	4035.0	2709.0
1002	279.0	47.0
1001	5108.0	669.0
3663	305.0	1174.0
100873325	2.0	1.0
3664	12484.0	3436.0
100873324	0.0	0.0
3665	774.0	2759.0
100873323	0.0	0.0
100873322	1.0	0.0
3667	13767.0	6167.0
100873329	0.0	0.0
285590	5033.0	3863.0
100873328	0.0	0.0
3669	698.0	3962.0
100873327	0.0	0.0
1009	2810.0	5182.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	0.0
728477	8.0	2.0
3680	2696.0	1200.0
3681	16.0	143.0
100128733	3.0	0.0
100873354	0.0	0.0
3682	592.0	1830.0
100873353	0.0	0.0
3683	774.0	10993.0
100873352	1.0	1.0
128710	844.0	966.0
3684	291.0	2911.0
100873351	0.0	0.0
285512	202.0	118.0
1022	1350.0	1428.0
285513	1154.0	2640.0
1021	2530.0	2077.0
1020	395.0	757.0
440299	1.0	0.0
1019	2498.0	3431.0
128709	0.0	0.0
1018	24.0	8.0
1017	1367.0	1422.0
1016	4.0	1.0
1015	37.0	23.0
1014	3.0	0.0
1013	7.0	6.0
1012	2329.0	557.0
116730	40.0	59.0
3674	80.0	14.0
100873358	1.0	0.0
3675	8532.0	3897.0
100873357	2.0	0.0
3676	586.0	3112.0
100128731	3146.0	6240.0
100873356	0.0	0.0
3678	2612.0	3912.0
3679	2693.0	696.0
100873359	0.0	0.0
728464	31.0	47.0
728463	15.0	17.0
100128725	0.0	0.0
3690	158.0	121.0
3691	19569.0	6715.0
100873343	0.0	1.0
3692	3277.0	4384.0
3693	10168.0	12298.0
285521	1148.0	1258.0
100873342	0.0	0.0
3694	6334.0	1046.0
100873341	0.0	0.0
3695	111.0	1358.0
100873340	2.0	0.0
100128723	5.0	4.0
1033	36.0	290.0
1032	133.0	541.0
285525	7.0	1.0
1031	1033.0	886.0
285527	4733.0	4164.0
1030	549.0	929.0
728468	0.0	0.0
440288	155.0	151.0
1029	118.0	454.0
440295	195.0	91.0
1028	2012.0	620.0
1027	5878.0	6383.0
1026	2340.0	3462.0
1025	2750.0	3216.0
1024	594.0	830.0
3685	9240.0	7500.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	400.0	3969.0
100873345	0.0	0.0
3688	23869.0	14778.0
100873344	0.0	0.0
3689	1398.0	15700.0
100873349	0.0	1.0
100873348	1.0	0.0
100873372	2.0	0.0
100873371	0.0	1.0
100873370	3.0	0.0
728498	37.0	8.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	34.0	42.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	151.0	85.0
100873374	0.0	0.0
728495	0.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	11.0	52.0
1043	378.0	9963.0
1041	3.0	59.0
1040	2304.0	2012.0
1039	1282.0	1868.0
1038	4.0	3.0
1036	1430.0	1095.0
3696	6180.0	537.0
3697	5.0	17.0
100873379	0.0	0.0
3698	346.0	320.0
100873378	3.0	0.0
