id	54a62dcd-c9a6-4a97-85c9-62e364766fca	b140b49a-5eb6-4272-a534-ab9a3685b87e
285550	1374.0	975.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	24.0	5.0
3640	7.0	3.0
3638	2358.0	1659.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1550.0	1135.0
100873313	2.0	0.0
3632	1564.0	1804.0
100873312	8.0	5.0
100873311	0.0	0.0
3633	1177.0	759.0
100873318	1.0	0.0
3635	1339.0	804.0
100873317	0.0	0.0
3636	4415.0	4346.0
100128771	59.0	43.0
100873316	0.0	6.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	0.0
1	33.0	36.0
2	83664.0	21146.0
100873309	0.0	0.0
100873308	0.0	1.0
3	24.0	4.0
3641	0.0	0.0
100873303	0.0	1.0
9	1889.0	410.0
3642	0.0	11.0
100873302	0.0	0.0
3643	5732.0	2448.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	16.0
100873307	0.0	0.0
3646	24787.0	9203.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	226.0	34.0
100873304	0.0	0.0
100873332	6.0	4.0
3660	2886.0	2874.0
100873331	0.0	0.0
3661	1811.0	3545.0
100873330	0.0	0.0
285577	3.0	0.0
3662	100.0	113.0
100128756	0.0	0.0
1000	147.0	207.0
3652	962.0	464.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	75.0	34.0
3654	3418.0	4195.0
100873334	0.0	0.0
3655	12442.0	2240.0
100873333	1.0	0.0
3656	227.0	289.0
100873339	0.0	0.0
3658	3548.0	1305.0
100873338	0.0	0.0
3659	1785.0	4888.0
100873337	0.0	0.0
3670	0.0	8.0
100873321	0.0	0.0
3671	8747.0	9681.0
100873320	0.0	0.0
3672	3509.0	1563.0
285588	1.0	0.0
3673	7431.0	1064.0
1011	0.0	0.0
1010	507.0	0.0
1008	5.0	98.0
1007	0.0	0.0
1006	25.0	17.0
1005	8.0	1.0
1004	413.0	219.0
1003	3516.0	2067.0
1002	168.0	29.0
1001	8797.0	3296.0
3663	318.0	247.0
100873325	0.0	0.0
3664	14441.0	6848.0
100873324	0.0	0.0
3665	554.0	1844.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7397.0	2006.0
100873329	0.0	0.0
285590	4437.0	2109.0
100873328	0.0	0.0
3669	485.0	817.0
100873327	0.0	0.0
1009	1699.0	6506.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	8.0
728477	4.0	4.0
3680	2346.0	652.0
3681	7.0	11.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	596.0	555.0
100873353	0.0	0.0
3683	564.0	3877.0
100873352	0.0	0.0
128710	1088.0	1575.0
3684	360.0	973.0
100873351	0.0	0.0
285512	164.0	27.0
1022	1347.0	1601.0
285513	871.0	373.0
1021	2012.0	3453.0
1020	575.0	1592.0
440299	0.0	0.0
1019	3653.0	5469.0
128709	2.0	0.0
1018	28.0	27.0
1017	2044.0	2057.0
1016	2.0	0.0
1015	25.0	9.0
1014	0.0	0.0
1013	6.0	12.0
1012	1966.0	707.0
116730	98.0	94.0
3674	26.0	17.0
100873358	0.0	0.0
3675	10433.0	7388.0
100873357	0.0	0.0
3676	317.0	235.0
100128731	4811.0	7216.0
100873356	0.0	0.0
3678	2838.0	4085.0
3679	997.0	249.0
100873359	0.0	0.0
728464	28.0	10.0
728463	16.0	4.0
100128725	0.0	0.0
3690	211.0	88.0
3691	15755.0	2971.0
100873343	1.0	0.0
3692	4764.0	10063.0
3693	9888.0	13356.0
285521	912.0	1372.0
100873342	0.0	0.0
3694	9011.0	1347.0
100873341	0.0	0.0
3695	80.0	132.0
100873340	0.0	0.0
100128723	3.0	13.0
1033	62.0	522.0
1032	162.0	368.0
285525	6.0	5.0
1031	475.0	1411.0
285527	4109.0	1986.0
1030	383.0	1157.0
728468	2.0	0.0
440288	177.0	90.0
1029	145.0	417.0
440295	240.0	87.0
1028	1338.0	431.0
1027	3910.0	4183.0
1026	3785.0	1838.0
1025	3065.0	3094.0
1024	601.0	1022.0
3685	8513.0	3726.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	372.0	566.0
100873345	0.0	1.0
3688	25839.0	9925.0
100873344	0.0	0.0
3689	1388.0	2292.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	2.0
100873371	5.0	0.0
100873370	0.0	0.0
728498	15.0	10.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	58.0	37.0
100873375	0.0	0.0
100128710	0.0	3.0
285533	210.0	38.0
100873374	0.0	0.0
728495	1.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	6.0	6.0
1043	395.0	1136.0
1041	15.0	3.0
1040	3697.0	2224.0
1039	1769.0	2308.0
1038	0.0	2.0
1036	604.0	84.0
3696	5157.0	355.0
3697	1.0	19.0
100873379	0.0	0.0
3698	572.0	26.0
100873378	0.0	8.0
3699	70.0	61.0
100873377	0.0	0.0
728486	3.0	1.0
100873361	0.0	0.0
105373869	1.0	178.0
100873360	0.0	2.0
285540	99.0	141.0
100128705	3.0	1.0
100873365	0.0	2.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	0.0	1.0
1054	3368.0	2517.0
285547	0.0	0.0
1053	2.0	8.0
285548	4.0	7.0
1052	1110.0	858.0
1051	2353.0	2323.0
728489	10.0	15.0
1050	436.0	1970.0
100128707	0.0	1.0
1048	11.0	16.0
1047	516.0	356.0
1046	0.0	0.0
1045	0.0	0.0
100873369	7.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	2.0
1066	472.0	142.0
1063	580.0	2300.0
1062	82.0	266.0
1061	1.0	1.0
1060	1927.0	1101.0
440253	123.0	49.0
1059	4356.0	7651.0
1058	18.0	155.0
1057	2.0	0.0
85379	10954.0	2790.0
114112	852.0	1284.0
1056	16.0	16.0
85377	2933.0	982.0
85378	2745.0	1520.0
128745	1.0	0.0
85376	22.0	7.0
440248	567.0	310.0
1075	2813.0	2421.0
1074	11.0	37.0
1073	1777.0	576.0
1072	30557.0	86792.0
1071	19.0	72.0
440243	0.0	0.0
1070	1110.0	970.0
1069	4059.0	8058.0
1068	0.0	1.0
85369	2043.0	3552.0
85366	0.0	2.0
