id	98921931-2f32-470d-97ae-824716d1c034	f6466e05-5aea-4d32-a97a-c65589f327e2
285550	1352.0	1640.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	16.0	10.0
3640	5.0	6.0
3638	7419.0	1136.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1579.0	2242.0
100873313	0.0	0.0
3632	1638.0	1732.0
100873312	3.0	5.0
100873311	0.0	0.0
3633	1745.0	2030.0
100873318	0.0	2.0
3635	1145.0	1839.0
100873317	0.0	0.0
3636	3117.0	8178.0
100128771	56.0	65.0
100873316	5.0	14.0
100873315	0.0	0.0
100128766	3.0	0.0
3651	0.0	0.0
1	7.0	61.0
2	58372.0	31647.0
100873309	0.0	0.0
100873308	0.0	0.0
3	21.0	28.0
3641	0.0	0.0
100873303	0.0	1.0
9	183.0	30300.0
3642	0.0	60.0
100873302	0.0	0.0
3643	7945.0	6203.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	48.0	26.0
100873307	0.0	0.0
3646	23982.0	16634.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	109.0	137.0
100873304	0.0	0.0
100873332	7.0	2.0
3660	2187.0	3806.0
100873331	0.0	0.0
3661	595.0	2159.0
100873330	0.0	0.0
285577	1.0	1.0
3662	560.0	424.0
100128756	0.0	0.0
1000	78.0	146.0
3652	1036.0	1480.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	535.0	24.0
3654	1424.0	4214.0
100873334	0.0	1.0
3655	8489.0	7978.0
100873333	1.0	1.0
3656	1137.0	301.0
100873339	1.0	0.0
3658	5020.0	5735.0
100873338	0.0	1.0
3659	847.0	5125.0
100873337	0.0	0.0
3670	2.0	0.0
100873321	0.0	0.0
3671	4480.0	5226.0
100873320	0.0	0.0
3672	10720.0	2683.0
285588	2.0	0.0
3673	1540.0	7950.0
1011	0.0	0.0
1010	9.0	0.0
1008	17.0	0.0
1007	1.0	0.0
1006	107.0	70.0
1005	5.0	928.0
1004	453.0	321.0
1003	6894.0	2020.0
1002	67.0	48.0
1001	770.0	1661.0
3663	139.0	519.0
100873325	0.0	0.0
3664	1653.0	11730.0
100873324	0.0	0.0
3665	181.0	1148.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6242.0	2472.0
100873329	0.0	0.0
285590	2467.0	5484.0
100873328	0.0	0.0
3669	176.0	280.0
100873327	0.0	0.0
1009	1359.0	8426.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	4.0
728477	2.0	2.0
3680	2589.0	1290.0
3681	4.0	66.0
100128733	0.0	1.0
100873354	0.0	0.0
3682	554.0	512.0
100873353	0.0	0.0
3683	258.0	2135.0
100873352	2.0	0.0
128710	437.0	1679.0
3684	284.0	2158.0
100873351	0.0	0.0
285512	137.0	356.0
1022	606.0	1692.0
285513	1021.0	1478.0
1021	1914.0	1113.0
1020	196.0	827.0
440299	0.0	0.0
1019	1945.0	3082.0
128709	0.0	0.0
1018	20.0	39.0
1017	680.0	1341.0
1016	5.0	2.0
1015	10.0	28.0
1014	0.0	0.0
1013	0.0	49.0
1012	2788.0	873.0
116730	53.0	42.0
3674	22.0	20.0
100873358	0.0	0.0
3675	1539.0	4375.0
100873357	0.0	3.0
3676	466.0	1196.0
100128731	4056.0	3905.0
100873356	0.0	0.0
3678	3219.0	3581.0
3679	16072.0	461.0
100873359	0.0	0.0
728464	44.0	23.0
728463	1.0	11.0
100128725	0.0	0.0
3690	172.0	209.0
3691	2569.0	3109.0
100873343	1.0	0.0
3692	1788.0	3251.0
3693	8642.0	10734.0
285521	1149.0	1435.0
100873342	0.0	0.0
3694	1366.0	7750.0
100873341	0.0	0.0
3695	82.0	185.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	26.0	83.0
1032	160.0	284.0
285525	7.0	2.0
1031	6391.0	336.0
285527	4631.0	6034.0
1030	5853.0	1199.0
728468	0.0	0.0
440288	115.0	157.0
1029	177.0	202.0
440295	64.0	267.0
1028	8025.0	506.0
1027	5066.0	7822.0
1026	9358.0	2806.0
1025	2195.0	2746.0
1024	639.0	1256.0
3685	8371.0	17886.0
100873347	1.0	0.0
100873346	0.0	1.0
3687	127.0	1539.0
100873345	0.0	0.0
3688	39641.0	21459.0
100873344	0.0	0.0
3689	506.0	3562.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	2.0	9.0
100873370	0.0	0.0
728498	55.0	19.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	1.0
728492	26.0	32.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	92.0	94.0
100873374	0.0	1.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	6.0	16.0
1043	211.0	1263.0
1041	1.0	2.0
1040	402.0	4938.0
1039	1037.0	5381.0
1038	60.0	1.0
1036	8550.0	217.0
3696	983.0	8184.0
3697	7.0	27.0
100873379	0.0	0.0
3698	739.0	25.0
100873378	0.0	5.0
3699	54.0	60.0
100873377	0.0	0.0
728486	0.0	6.0
100873361	0.0	0.0
105373869	1.0	178.0
100873360	0.0	3.0
285540	157.0	197.0
100128705	1.0	1.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	5.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	2938.0	2198.0
285547	0.0	0.0
1053	0.0	4.0
285548	4.0	1.0
1052	4799.0	1010.0
1051	3610.0	844.0
728489	2.0	6.0
1050	6388.0	440.0
100128707	0.0	0.0
1048	15.0	59.0
1047	38.0	10911.0
1046	0.0	1.0
1045	0.0	0.0
100873369	6.0	49.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	5.0	1.0
1066	5483.0	289.0
1063	185.0	1038.0
1062	102.0	231.0
1061	1.0	9.0
1060	1824.0	1921.0
440253	409.0	64.0
1059	2477.0	5784.0
1058	5.0	26.0
1057	1.0	2.0
85379	3801.0	4083.0
114112	681.0	823.0
1056	15.0	64.0
85377	1064.0	1079.0
85378	1393.0	2426.0
128745	0.0	0.0
85376	1.0	5.0
440248	559.0	858.0
1075	6706.0	3848.0
1074	4.0	89.0
1073	5162.0	1082.0
1072	9359.0	27691.0
1071	151.0	71.0
440243	0.0	0.0
1070	850.0	965.0
1069	1546.0	4177.0
1068	0.0	0.0
85369	1522.0	2490.0
85366	0.0	18.0
85364	1046.0	2248.0
85365	1505.0	2282.0
85363	915.0	1518.0
85360	988.0	391.0
1080	31.0	71.0
85391	7.0	2.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	4.0	0.0
153733	473.0	772.0
1087	3.0	49.0
1086	1.0	0.0
440279	6.0	9.0
1085	7.0	0.0
1084	5.0	1.0
440278	115.0	144.0
1082	1.0	0.0
403294	0.0	0.0
440275	4245.0	6593.0
1081	0.0	1.0
85397	3.0	1.0
85395	160.0	233.0
403285	0.0	0.0
1091	0.0	0.0
1090	4.0	1.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	0.0
440270	557.0	1848.0
1089	3.0	6.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	11.0	7.0
285598	788.0	420.0
126133	505.0	774.0
128790	0.0	0.0
126129	48.0	159.0
126123	0.0	2.0
442862	0.0	0.0
126119	295.0	379.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	1.0
114131	0.0	0.0
442896	0.0	0.0
114132	11.0	5.0
442897	0.0	0.0
442898	1.0	0.0
114134	864.0	5513.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	12.0
100128788	19.0	377.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	1167.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	5.0
128756	0.0	0.0
100128782	218.0	291.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	3.0
403234	0.0	0.0
403235	0.0	1.0
403236	0.0	0.0
63982	1347.0	400.0
102466616	0.0	0.0
126052	0.0	0.0
151009	10.0	53.0
