id	40061da3-4d17-4319-a4a8-22b0fbad9fd9	c09b3169-05dc-4a2a-881a-05b4d2296d0a
285550	1981.0	1225.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	43.0	13.0
3640	13.0	18.0
3638	2665.0	1377.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2794.0	2774.0
100873313	0.0	0.0
3632	1882.0	1132.0
100873312	5.0	1.0
100873311	0.0	0.0
3633	2489.0	1257.0
100873318	0.0	0.0
3635	5935.0	1195.0
100873317	0.0	0.0
3636	9106.0	5287.0
100128771	47.0	61.0
100873316	13.0	7.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	2.0	0.0
1	26.0	49.0
2	21028.0	20621.0
100873309	0.0	2.0
100873308	0.0	0.0
3	13.0	7.0
3641	1.0	1.0
100873303	0.0	0.0
9	248.0	134.0
3642	25.0	11.0
100873302	2.0	0.0
3643	7185.0	7619.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	18.0	6.0
100873307	0.0	0.0
3646	22344.0	14812.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	146.0	49.0
100873304	0.0	0.0
100873332	0.0	3.0
3660	3108.0	2071.0
100873331	0.0	0.0
3661	3923.0	3460.0
100873330	0.0	1.0
285577	1.0	0.0
3662	1491.0	1145.0
100128756	0.0	0.0
1000	1453.0	284.0
3652	1980.0	1202.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	682.0	109.0
3654	4481.0	2596.0
100873334	0.0	0.0
3655	4922.0	6786.0
100873333	0.0	0.0
3656	519.0	1206.0
100873339	0.0	0.0
3658	7439.0	3372.0
100873338	0.0	0.0
3659	6215.0	4650.0
100873337	0.0	0.0
3670	18.0	2.0
100873321	0.0	0.0
3671	9517.0	7345.0
100873320	0.0	0.0
3672	5567.0	1860.0
285588	0.0	0.0
3673	842.0	19428.0
1011	0.0	0.0
1010	0.0	0.0
1008	0.0	2.0
1007	0.0	1.0
1006	9.0	3.0
1005	0.0	0.0
1004	385.0	6190.0
1003	4074.0	1934.0
1002	44.0	634.0
1001	433.0	6152.0
3663	685.0	1331.0
100873325	0.0	0.0
3664	10032.0	6619.0
100873324	0.0	0.0
3665	1195.0	857.0
100873323	1.0	0.0
100873322	0.0	0.0
3667	12969.0	1730.0
100873329	0.0	0.0
285590	1572.0	2654.0
100873328	0.0	0.0
3669	4851.0	1340.0
100873327	0.0	0.0
1009	1039.0	2958.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	0.0
728477	13.0	9.0
3680	11248.0	14328.0
3681	98.0	103.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	829.0	630.0
100873353	0.0	0.0
3683	4980.0	1378.0
100873352	0.0	0.0
128710	896.0	583.0
3684	1060.0	1936.0
100873351	0.0	0.0
285512	269.0	89.0
1022	1428.0	1890.0
285513	1931.0	841.0
1021	1992.0	781.0
1020	596.0	694.0
440299	1.0	0.0
1019	4349.0	4032.0
128709	0.0	0.0
1018	22.0	24.0
1017	1969.0	1295.0
1016	1.0	0.0
1015	6.0	12.0
1014	3230.0	58.0
1013	5.0	34.0
1012	343.0	759.0
116730	4.0	11.0
3674	312.0	46.0
100873358	0.0	0.0
3675	18816.0	82841.0
100873357	1.0	0.0
3676	2540.0	791.0
100128731	5980.0	6423.0
100873356	0.0	0.0
3678	3816.0	2475.0
3679	784.0	889.0
100873359	0.0	0.0
728464	64.0	2.0
728463	10.0	65.0
100128725	0.0	0.0
3690	3500.0	3430.0
3691	2414.0	5494.0
100873343	0.0	0.0
3692	4402.0	5699.0
3693	3122.0	5248.0
285521	1041.0	1074.0
100873342	0.0	0.0
3694	1100.0	5517.0
100873341	0.0	0.0
3695	817.0	273.0
100873340	2.0	0.0
100128723	1.0	0.0
1033	338.0	48.0
1032	400.0	338.0
285525	10.0	2.0
1031	712.0	386.0
285527	5420.0	2313.0
1030	134.0	1179.0
728468	0.0	0.0
440288	150.0	61.0
1029	54.0	561.0
440295	211.0	82.0
1028	854.0	587.0
1027	6139.0	3573.0
1026	13696.0	28504.0
1025	3462.0	3344.0
1024	791.0	633.0
3685	21964.0	24983.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	1533.0	2175.0
100873345	0.0	0.0
3688	15990.0	14770.0
100873344	0.0	0.0
3689	7093.0	9175.0
100873349	0.0	0.0
100873348	0.0	1.0
100873372	0.0	0.0
100873371	0.0	6.0
100873370	0.0	0.0
728498	54.0	30.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
