id	85aa8cbf-f8c4-4b10-b758-6644c4f705a4	53011995-9534-4c83-81fb-fb0187a24040
285550	2532.0	1236.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	43.0	160.0
3640	1.0	54.0
3638	1562.0	3074.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1905.0	3036.0
100873313	0.0	0.0
3632	2530.0	1567.0
100873312	0.0	1.0
100873311	0.0	0.0
3633	1246.0	1305.0
100873318	0.0	0.0
3635	497.0	1403.0
100873317	0.0	0.0
3636	8599.0	7229.0
100128771	148.0	169.0
100873316	0.0	3.0
100873315	0.0	0.0
100128766	1.0	2.0
3651	0.0	0.0
1	13.0	23.0
2	27121.0	16196.0
100873309	0.0	0.0
100873308	0.0	1.0
3	1.0	1.0
3641	0.0	1.0
100873303	0.0	0.0
9	164.0	137.0
3642	1.0	3.0
100873302	0.0	0.0
3643	6496.0	5910.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	6.0	7.0
100873307	0.0	0.0
3646	15119.0	19222.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	145.0	101.0
100873304	0.0	0.0
100873332	2.0	0.0
3660	2276.0	2057.0
100873331	0.0	0.0
3661	2830.0	3979.0
100873330	0.0	0.0
285577	0.0	0.0
3662	70.0	662.0
100128756	0.0	0.0
1000	3909.0	4340.0
3652	2115.0	1363.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	402.0	80.0
3654	3977.0	3320.0
100873334	1.0	0.0
3655	4244.0	5224.0
100873333	0.0	1.0
3656	402.0	1387.0
100873339	0.0	0.0
3658	6728.0	2911.0
100873338	1.0	0.0
3659	1345.0	2848.0
100873337	0.0	0.0
3670	13.0	26.0
100873321	0.0	0.0
3671	15622.0	15391.0
100873320	0.0	0.0
3672	5348.0	1822.0
285588	0.0	0.0
3673	1005.0	10852.0
1011	0.0	0.0
1010	0.0	2.0
1008	4.0	1.0
1007	0.0	1.0
1006	15.0	1.0
1005	1.0	3.0
1004	477.0	12471.0
1003	4918.0	2409.0
1002	39.0	495.0
1001	515.0	5903.0
3663	202.0	1039.0
100873325	0.0	0.0
3664	5601.0	6114.0
100873324	0.0	0.0
3665	594.0	933.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	20653.0	2913.0
100873329	0.0	0.0
285590	2141.0	8177.0
100873328	0.0	0.0
3669	1379.0	1233.0
100873327	0.0	0.0
1009	1003.0	10118.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	3.0
728477	14.0	14.0
3680	15876.0	9302.0
3681	1.0	5.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	737.0	452.0
100873353	0.0	0.0
3683	293.0	833.0
100873352	0.0	0.0
128710	814.0	682.0
3684	170.0	1736.0
100873351	0.0	0.0
285512	107.0	59.0
1022	1329.0	2171.0
285513	625.0	903.0
1021	1490.0	952.0
1020	714.0	1049.0
440299	2.0	0.0
1019	3813.0	4753.0
128709	0.0	0.0
