id	2c80fdb5-bba0-4402-a6d4-412cbab60fc8	7400ffec-f429-4d6b-bb44-553fa3ae477d
285550	2989.0	2284.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	37.0	25.0
3640	6.0	35.0
3638	2053.0	2027.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2301.0	4096.0
100873313	0.0	0.0
3632	2044.0	1712.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	1840.0	1621.0
100873318	0.0	0.0
3635	730.0	956.0
100873317	0.0	0.0
3636	7022.0	5770.0
100128771	93.0	97.0
100873316	14.0	6.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	1.0	0.0
1	27.0	73.0
2	35077.0	28138.0
100873309	0.0	0.0
100873308	0.0	0.0
3	23.0	2.0
3641	0.0	1.0
100873303	0.0	0.0
9	213.0	72.0
3642	15.0	4.0
100873302	0.0	0.0
3643	6903.0	12610.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	1.0	0.0
3645	7.0	3.0
100873307	2.0	0.0
3646	21566.0	19974.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	114.0	73.0
100873304	1.0	0.0
100873332	2.0	1.0
3660	3261.0	2890.0
100873331	0.0	0.0
3661	2651.0	4112.0
100873330	1.0	1.0
285577	0.0	0.0
3662	64.0	1074.0
100128756	0.0	0.0
1000	499.0	744.0
3652	1821.0	1887.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	507.0	193.0
3654	3173.0	1413.0
100873334	0.0	0.0
3655	5556.0	5888.0
100873333	0.0	0.0
3656	678.0	1228.0
100873339	0.0	0.0
3658	8010.0	4737.0
100873338	0.0	0.0
3659	1583.0	3066.0
100873337	0.0	0.0
3670	2.0	0.0
100873321	0.0	0.0
3671	14147.0	4395.0
100873320	0.0	0.0
3672	5500.0	2520.0
285588	0.0	0.0
3673	980.0	8932.0
1011	0.0	0.0
1010	0.0	2.0
1008	5.0	1.0
1007	0.0	1.0
1006	12.0	16.0
1005	1.0	1.0
1004	448.0	3382.0
1003	5751.0	4031.0
1002	158.0	1493.0
1001	213.0	9173.0
3663	229.0	622.0
100873325	0.0	0.0
3664	12688.0	6668.0
100873324	0.0	0.0
3665	925.0	1072.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	24952.0	2514.0
100873329	0.0	0.0
285590	3299.0	2862.0
100873328	0.0	0.0
3669	714.0	672.0
100873327	0.0	0.0
1009	624.0	3680.0
100873326	1.0	0.0
100873350	0.0	0.0
116729	8.0	3.0
728477	20.0	10.0
3680	22342.0	15011.0
3681	2.0	5.0
100128733	3.0	0.0
100873354	0.0	0.0
3682	578.0	550.0
100873353	0.0	0.0
3683	343.0	515.0
100873352	0.0	0.0
128710	1232.0	726.0
3684	274.0	829.0
100873351	0.0	0.0
285512	173.0	135.0
1022	1407.0	2182.0
285513	1414.0	612.0
1021	2267.0	547.0
1020	751.0	734.0
440299	1.0	1.0
1019	4105.0	5078.0
128709	0.0	3.0
1018	25.0	26.0
1017	1015.0	1437.0
1016	0.0	0.0
1015	6.0	26.0
1014	8621.0	43.0
1013	1.0	27.0
1012	705.0	1492.0
116730	10.0	18.0
3674	202.0	75.0
100873358	0.0	0.0
3675	29844.0	96219.0
100873357	2.0	1.0
3676	191.0	317.0
100128731	5818.0	6818.0
100873356	0.0	0.0
3678	3393.0	3220.0
3679	1143.0	1932.0
100873359	0.0	0.0
728464	91.0	2.0
728463	33.0	78.0
100128725	0.0	0.0
3690	3351.0	3001.0
3691	2333.0	5385.0
100873343	0.0	0.0
3692	4307.0	5799.0
3693	6343.0	5003.0
285521	1012.0	1255.0
100873342	0.0	0.0
3694	2005.0	3176.0
100873341	0.0	0.0
3695	176.0	198.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	19.0	44.0
1032	142.0	229.0
285525	12.0	4.0
1031	1041.0	735.0
285527	4507.0	2897.0
1030	67.0	618.0
728468	0.0	0.0
440288	154.0	76.0
1029	17.0	136.0
440295	152.0	109.0
1028	1163.0	567.0
1027	9199.0	7084.0
1026	8696.0	21318.0
1025	3560.0	5270.0
1024	1082.0	648.0
3685	20678.0	35624.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	216.0	1055.0
100873345	0.0	0.0
3688	15108.0	18795.0
100873344	0.0	2.0
3689	981.0	3721.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	3.0	2.0
100873370	0.0	0.0
728498	75.0	38.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	45.0	27.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	30.0	25.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	11.0
1043	215.0	846.0
1041	8.0	33.0
1040	8504.0	6015.0
1039	8281.0	2669.0
1038	2.0	2.0
1036	547.0	655.0
3696	3246.0	2859.0
3697	0.0	3.0
100873379	0.0	0.0
3698	17.0	19.0
100873378	1.0	1.0
3699	82.0	6.0
100873377	0.0	0.0
728486	32.0	29.0
100873361	0.0	0.0
105373869	2.0	15.0
100873360	0.0	0.0
285540	15.0	3.0
100128705	4.0	1.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	1.0
100873362	0.0	0.0
100128701	3.0	1.0
1054	4615.0	1538.0
285547	0.0	0.0
1053	2.0	0.0
285548	0.0	2.0
1052	7447.0	6887.0
1051	3736.0	3401.0
728489	6.0	11.0
1050	609.0	184.0
100128707	0.0	0.0
1048	107.0	6.0
1047	22.0	12.0
1046	0.0	1.0
