id	c79c7338-1c91-4f28-9566-58ef5aa2d8cd	7d5eee39-e133-4065-86aa-71033d1ffc6b
285550	1948.0	1508.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	44.0	9.0
3640	11.0	49.0
3638	4687.0	1570.0
100873319	0.0	1.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2066.0	3489.0
100873313	0.0	0.0
3632	1878.0	1399.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	1259.0	1677.0
100873318	0.0	0.0
3635	1504.0	1718.0
100873317	0.0	0.0
3636	7365.0	7315.0
100128771	131.0	89.0
100873316	11.0	5.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	1.0	0.0
1	13.0	29.0
2	30079.0	29300.0
100873309	0.0	0.0
100873308	1.0	0.0
3	10.0	5.0
3641	1.0	0.0
100873303	0.0	0.0
9	144.0	84.0
3642	9.0	5.0
100873302	0.0	1.0
3643	5755.0	9333.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	1.0
3645	7.0	20.0
100873307	0.0	0.0
3646	15561.0	20035.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	132.0	111.0
100873304	1.0	0.0
100873332	0.0	0.0
3660	1843.0	2818.0
100873331	0.0	0.0
3661	3604.0	4687.0
100873330	0.0	0.0
285577	2.0	0.0
3662	771.0	812.0
100128756	0.0	0.0
1000	138.0	902.0
3652	1441.0	1571.0
100873336	0.0	0.0
100873335	0.0	1.0
100128750	509.0	216.0
3654	3734.0	3398.0
100873334	0.0	0.0
3655	5099.0	6896.0
100873333	0.0	1.0
3656	916.0	1781.0
100873339	0.0	0.0
3658	4600.0	3385.0
100873338	0.0	0.0
3659	4613.0	6598.0
100873337	0.0	0.0
3670	8.0	1.0
100873321	0.0	1.0
3671	12776.0	26865.0
100873320	0.0	0.0
3672	5503.0	4236.0
285588	0.0	3.0
3673	2100.0	15669.0
1011	0.0	0.0
1010	0.0	0.0
1008	1.0	0.0
1007	0.0	1.0
1006	10.0	11.0
1005	1.0	0.0
1004	450.0	10224.0
1003	4544.0	4698.0
1002	52.0	2982.0
1001	389.0	7647.0
3663	421.0	1163.0
100873325	0.0	0.0
3664	18047.0	6235.0
100873324	0.0	1.0
3665	1664.0	1301.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9382.0	1667.0
100873329	0.0	0.0
285590	1871.0	5662.0
100873328	0.0	0.0
3669	2464.0	1693.0
100873327	0.0	0.0
1009	894.0	7059.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	2.0	3.0
728477	12.0	6.0
3680	12860.0	17744.0
3681	50.0	16.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	791.0	1027.0
100873353	0.0	0.0
3683	1730.0	1934.0
100873352	0.0	0.0
128710	633.0	659.0
3684	1020.0	1072.0
100873351	0.0	0.0
285512	115.0	49.0
1022	1661.0	2626.0
285513	1228.0	890.0
1021	1854.0	852.0
1020	606.0	966.0
440299	0.0	0.0
1019	3109.0	6444.0
128709	0.0	0.0
1018	22.0	37.0
1017	1330.0	1557.0
1016	0.0	2.0
1015	8.0	23.0
1014	6979.0	14.0
1013	2.0	8.0
1012	460.0	1737.0
116730	11.0	11.0
3674	291.0	76.0
100873358	0.0	0.0
3675	18844.0	116460.0
100873357	0.0	0.0
3676	948.0	870.0
100128731	5594.0	10819.0
100873356	0.0	0.0
3678	7505.0	7606.0
3679	959.0	1232.0
100873359	0.0	0.0
728464	49.0	4.0
728463	34.0	88.0
100128725	0.0	0.0
3690	3938.0	3833.0
3691	2706.0	9264.0
100873343	1.0	0.0
3692	4104.0	8421.0
3693	4807.0	13733.0
285521	735.0	1120.0
100873342	0.0	0.0
3694	4673.0	5528.0
100873341	0.0	0.0
3695	313.0	488.0
100873340	1.0	0.0
100128723	1.0	0.0
1033	42.0	73.0
1032	280.0	444.0
285525	2.0	0.0
1031	251.0	576.0
285527	3245.0	2885.0
1030	207.0	2717.0
728468	0.0	0.0
440288	80.0	79.0
1029	59.0	1443.0
440295	175.0	94.0
1028	1207.0	1130.0
1027	4378.0	5585.0
1026	50763.0	30706.0
1025	3506.0	5457.0
1024	659.0	787.0
3685	21540.0	25613.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	1353.0	969.0
100873345	0.0	0.0
3688	15177.0	25342.0
100873344	0.0	1.0
3689	4853.0	9212.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	51.0	18.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	28.0	20.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	59.0	101.0
100873374	0.0	0.0
728495	1.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	26.0
1043	1348.0	2241.0
1041	2.0	150.0
1040	8673.0	5218.0
1039	6260.0	3579.0
1038	2.0	2.0
1036	896.0	1045.0
3696	2677.0	2536.0
3697	5.0	2.0
100873379	0.0	0.0
3698	5.0	14.0
100873378	2.0	1.0
3699	114.0	35.0
100873377	0.0	0.0
728486	8.0	15.0
100873361	0.0	0.0
105373869	4.0	183.0
100873360	0.0	0.0
285540	10.0	4.0
100128705	2.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	0.0	0.0
100128701	3.0	2.0
1054	3215.0	1101.0
285547	0.0	0.0
1053	8.0	6.0
285548	0.0	12.0
1052	14980.0	5725.0
1051	7313.0	3610.0
728489	16.0	22.0
1050	486.0	186.0
100128707	0.0	0.0
1048	66.0	2.0
1047	18.0	128.0
1046	0.0	0.0
1045	1.0	4.0
100873369	15.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	6.0	2.0
1066	159.0	32.0
1063	160.0	576.0
1062	118.0	202.0
1061	3.0	0.0
1060	2440.0	1670.0
440253	218.0	123.0
1059	5265.0	9047.0
1058	15.0	35.0
1057	2.0	0.0
85379	8025.0	5703.0
114112	622.0	524.0
1056	11.0	19.0
85377	2621.0	3288.0
85378	3596.0	4621.0
128745	0.0	0.0
85376	9.0	69.0
440248	420.0	262.0
1075	6992.0	41175.0
1074	8.0	11.0
1073	5433.0	1908.0
1072	29584.0	52692.0
1071	169.0	114.0
440243	0.0	0.0
1070	1080.0	930.0
1069	4362.0	4046.0
1068	0.0	0.0
85369	1696.0	2976.0
85366	15.0	19.0
85364	2024.0	1782.0
85365	2758.0	2932.0
85363	1849.0	2002.0
85360	569.0	986.0
1080	26.0	60.0
85391	8.0	8.0
403296	0.0	0.0
403297	1.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	4.0
153733	388.0	453.0
1087	1.0	1.0
1086	0.0	1.0
440279	691.0	94.0
1085	1.0	2.0
1084	6.0	9.0
440278	324.0	154.0
1082	0.0	0.0
403294	1.0	0.0
440275	4176.0	4398.0
1081	1.0	1.0
85397	1256.0	5.0
85395	401.0	674.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	2.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	1.0
440270	4280.0	3834.0
1089	5.0	19.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	78.0	22.0
285598	408.0	535.0
126133	2135.0	2227.0
128790	0.0	0.0
126129	69.0	151.0
126123	14.0	2.0
442862	0.0	0.0
126119	1280.0	1622.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	1.0	0.0
442896	0.0	0.0
114132	48.0	17.0
442897	0.0	0.0
442898	11.0	1.0
114134	450.0	1048.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	5.0
100128788	57.0	25.0
100128787	0.0	1.0
440225	0.0	0.0
440224	1.0	3.0
442890	0.0	0.0
442891	1.0	1.0
442892	1.0	0.0
128756	1.0	0.0
100128782	328.0	204.0
100128781	2.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	3.0	0.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	123.0	65.0
102466616	0.0	0.0
126052	0.0	0.0
151009	124.0	71.0
403227	0.0	1.0
403228	0.0	0.0
138046	6.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	0.0
645572	0.0	0.0
645571	20.0	7.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	713.0	1526.0
107131122	0.0	1.0
138050	7451.0	14743.0
403219	0.0	0.0
151011	4691.0	3554.0
645587	3.0	0.0
165679	8.0	13.0
126037	12.0	17.0
114049	4701.0	5499.0
106481479	0.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	2.0
106481484	0.0	0.0
106481485	40.0	1.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	645.0	584.0
100033821	2.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	1.0
85313	5506.0	2938.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	201.0	263.0
100033820	0.0	0.0
106481480	5.0	1.0
106481481	0.0	0.0
138065	8.0	34.0
645598	0.0	0.0
163007	0.0	1.0
114038	3.0	6.0
645591	0.0	0.0
106481495	1.0	0.0
114041	105.0	8.0
106481496	0.0	0.0
114042	6.0	0.0
106481493	0.0	0.0
114043	34.0	5.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	169.0	117.0
126017	258.0	447.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	6.0	5.0
85301	2321.0	1131.0
106481491	1.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	1.0	1.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	638.0	308.0
106481459	0.0	0.0
26994	13522.0	10412.0
106481457	1.0	2.0
26995	1578.0	2549.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3136.0	4627.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2826.0	2688.0
106481467	0.0	0.0
106481464	1.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	1.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	1.0	0.0
106481471	0.0	0.0
85329	6.0	19.0
106481472	0.0	0.0
106481477	4.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
