id	fa0419a3-7d4d-40fe-aceb-3d70965387e3	7ed7a392-2f66-4187-85bf-b902a8065bc5
285550	781.0	783.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	10.0	4.0
3640	2.0	8.0
3638	7161.0	5357.0
100873319	1.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2189.0	2111.0
100873313	0.0	0.0
3632	2243.0	1870.0
100873312	2.0	1.0
100873311	0.0	0.0
3633	2442.0	831.0
100873318	0.0	0.0
3635	1818.0	1421.0
100873317	0.0	0.0
3636	6270.0	2880.0
100128771	24.0	32.0
100873316	6.0	3.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	4.0
1	9.0	10.0
2	226359.0	11133.0
100873309	0.0	0.0
100873308	0.0	0.0
3	16.0	4.0
3641	0.0	0.0
100873303	0.0	0.0
9	422.0	172.0
3642	0.0	13.0
100873302	0.0	0.0
3643	3915.0	2042.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	0.0	16.0
100873307	0.0	0.0
3646	11207.0	11418.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	33.0	71.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	3257.0	6204.0
100873331	0.0	0.0
3661	2033.0	4093.0
100873330	0.0	2.0
285577	2.0	0.0
3662	270.0	426.0
100128756	0.0	1.0
1000	154.0	49.0
3652	586.0	561.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	309.0	33.0
3654	4247.0	16393.0
100873334	2.0	0.0
3655	4564.0	16808.0
100873333	0.0	0.0
3656	329.0	645.0
100873339	0.0	0.0
3658	3198.0	1874.0
100873338	0.0	0.0
3659	7297.0	15146.0
100873337	0.0	0.0
3670	0.0	0.0
100873321	0.0	1.0
3671	2546.0	3802.0
100873320	0.0	0.0
3672	4628.0	1725.0
285588	1.0	0.0
3673	2047.0	5146.0
1011	0.0	0.0
1010	2.0	10.0
1008	23.0	1.0
1007	0.0	0.0
1006	37.0	113.0
1005	2.0	0.0
1004	721.0	96.0
1003	13139.0	860.0
1002	78.0	87.0
1001	1504.0	26403.0
3663	1674.0	2120.0
100873325	0.0	0.0
3664	3823.0	18498.0
100873324	0.0	0.0
3665	1195.0	2632.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	1667.0	334.0
100873329	0.0	0.0
285590	2391.0	2220.0
100873328	0.0	0.0
3669	1373.0	3357.0
100873327	0.0	0.0
1009	5325.0	3169.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	21.0
728477	4.0	2.0
3680	3211.0	350.0
3681	29.0	106.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	3629.0	2574.0
100873353	0.0	0.0
3683	5900.0	2634.0
100873352	0.0	2.0
128710	366.0	773.0
3684	6240.0	1972.0
100873351	0.0	3.0
285512	48.0	25.0
1022	781.0	1490.0
285513	3055.0	508.0
1021	1333.0	2070.0
1020	624.0	1723.0
440299	2.0	4.0
1019	2390.0	16497.0
128709	0.0	0.0
1018	9.0	33.0
1017	1170.0	4952.0
1016	0.0	2.0
1015	15.0	32.0
1014	51.0	172.0
1013	57.0	12.0
1012	1576.0	3154.0
116730	37.0	92.0
3674	70.0	97.0
100873358	0.0	0.0
3675	29480.0	24635.0
100873357	0.0	0.0
3676	897.0	438.0
100128731	3997.0	15526.0
100873356	0.0	0.0
3678	7294.0	17849.0
3679	694.0	333.0
100873359	0.0	0.0
728464	36.0	398.0
728463	32.0	8.0
100128725	0.0	0.0
3690	110.0	43.0
3691	4929.0	23985.0
100873343	1.0	1.0
3692	4102.0	32212.0
3693	7991.0	12104.0
285521	864.0	759.0
100873342	0.0	1.0
3694	9443.0	2840.0
100873341	0.0	0.0
3695	297.0	440.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	28.0	1757.0
1032	519.0	985.0
285525	0.0	0.0
1031	488.0	827.0
285527	3307.0	1417.0
1030	2741.0	141.0
728468	0.0	0.0
440288	121.0	160.0
1029	40.0	92.0
440295	118.0	117.0
1028	1324.0	598.0
1027	3619.0	7096.0
1026	10372.0	9199.0
1025	3378.0	4316.0
1024	581.0	831.0
3685	5288.0	8447.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	3776.0	1229.0
100873345	0.0	0.0
3688	18210.0	16850.0
100873344	0.0	0.0
3689	18894.0	7981.0
100873349	2.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	13.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	20.0	24.0
100873375	0.0	0.0
100128710	2.0	2.0
285533	137.0	360.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	5.0	45.0
1043	13506.0	2735.0
1041	0.0	3.0
1040	3729.0	1288.0
1039	1304.0	1317.0
1038	2.0	0.0
1036	489.0	53.0
3696	982.0	4568.0
3697	4.0	9.0
100873379	0.0	0.0
3698	68.0	12.0
100873378	0.0	1.0
3699	163.0	34.0
100873377	0.0	0.0
728486	98.0	47.0
100873361	0.0	0.0
105373869	3.0	65.0
100873360	0.0	0.0
285540	124.0	49.0
100128705	1.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	2.0
100873362	0.0	0.0
100128701	0.0	3.0
1054	2075.0	11461.0
285547	0.0	0.0
1053	18.0	6.0
285548	1.0	19.0
1052	6474.0	4491.0
1051	5243.0	3650.0
728489	8.0	10.0
1050	3196.0	3278.0
100128707	0.0	0.0
1048	4104.0	3744.0
1047	130.0	317.0
1046	0.0	0.0
1045	0.0	77.0
100873369	2.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	26200.0	8330.0
1063	182.0	3861.0
1062	72.0	762.0
1061	1.0	1.0
1060	1161.0	873.0
440253	37.0	121.0
1059	6194.0	10521.0
1058	11.0	1449.0
1057	0.0	8.0
85379	5636.0	3977.0
114112	532.0	781.0
1056	62.0	2061.0
85377	2442.0	6171.0
85378	2252.0	1668.0
128745	0.0	0.0
85376	42.0	4.0
440248	208.0	242.0
1075	25992.0	18422.0
1074	3.0	10.0
1073	2723.0	947.0
1072	41502.0	69404.0
1071	246.0	68.0
440243	0.0	3.0
1070	716.0	846.0
1069	5044.0	6664.0
1068	0.0	0.0
85369	1895.0	1230.0
85366	4.0	22.0
85364	1597.0	3703.0
85365	1974.0	2257.0
85363	1648.0	695.0
85360	1204.0	892.0
1080	1744.0	107.0
85391	2.0	10.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	19.0	0.0
153733	426.0	396.0
1087	24.0	4.0
1086	0.0	0.0
440279	7.0	1.0
1085	0.0	0.0
1084	123.0	14.0
440278	75.0	108.0
1082	0.0	0.0
403294	0.0	0.0
440275	3260.0	3348.0
1081	0.0	3.0
85397	4.0	8.0
85395	324.0	1013.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	3.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	1.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	6.0	2.0
440270	244.0	654.0
1089	52.0	32.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	14.0	22.0
285598	247.0	553.0
126133	1988.0	4107.0
128790	0.0	0.0
126129	91.0	146.0
126123	7.0	1.0
442862	0.0	0.0
126119	932.0	2204.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	1.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	178.0	51.0
442896	0.0	0.0
114132	509.0	8.0
442897	0.0	0.0
442898	0.0	1.0
114134	1007.0	392.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	1.0
100128788	20.0	155.0
100128787	0.0	2.0
440225	0.0	1.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	2.0
442892	0.0	0.0
128756	0.0	1.0
100128782	161.0	205.0
100128781	1.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	2.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	60.0	3.0
102466616	0.0	0.0
126052	0.0	0.0
151009	36.0	22.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	3.0	1.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	1074.0	7383.0
107131122	0.0	0.0
138050	6024.0	4298.0
403219	0.0	0.0
151011	5250.0	3010.0
645587	1.0	0.0
165679	8.0	120.0
126037	14.0	33.0
114049	3163.0	10295.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1852.0	736.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1359.0	1196.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	174.0	131.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	21.0	37.0
645598	0.0	0.0
163007	11.0	0.0
114038	1.0	0.0
645591	27.0	0.0
106481495	1.0	0.0
114041	10.0	16.0
106481496	0.0	0.0
114042	4.0	0.0
106481493	0.0	0.0
114043	14.0	105.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	89.0	161.0
126017	350.0	415.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	0.0	0.0
85301	636.0	1924.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	1542.0	1507.0
106481459	0.0	0.0
26994	6816.0	3539.0
106481457	0.0	1.0
26995	1456.0	3289.0
106481458	0.0	0.0
403271	0.0	0.0
26998	3.0	2513.0
403272	0.0	2.0
102466659	0.0	0.0
26999	3676.0	1473.0
403273	0.0	0.0
102466658	0.0	3.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	2.0
106481460	1.0	1.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	1443.0	2229.0
106481467	0.0	0.0
106481464	2.0	0.0
106481465	0.0	0.0
104310351	19.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	47.0	7.0
106481472	0.0	0.0
106481477	0.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	5.0	17.0
106481470	0.0	0.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	1015.0	812.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	1.0	11.0
106481437	0.0	0.0
26974	61.0	140.0
153657	39.0	31.0
